ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source,Segment_Slice
Soninke-1_guestorstranger-1-1,Soninke-1_guestorstranger-1,mùkkê,18,false,expert,hantganfc,,,,1
SonghaiKiini-1_guestorstranger-1-1,SonghaiKiini-1_guestorstranger-1,yòw-òó,15,false,expert,hantganfc,,,,1
SonghaiKiini-1_guestorstranger-1-2,SonghaiKiini-1_guestorstranger-1,yòw-òó,16,false,expert,hantganfc,,,,2
SonghaiSenni-1_guestorstranger-1-1,SonghaiSenni-1_guestorstranger-1,yòw-ò,15,false,expert,hantganfc,,,,1
SonghaiSenni-1_guestorstranger-1-2,SonghaiSenni-1_guestorstranger-1,yòw-ò,16,false,expert,hantganfc,,,,2
Bambara-1_guestorstranger-1-1,Bambara-1_guestorstranger-1,dúnáⁿ,1,false,expert,hantganfc,,,,1
Bangime-1_guestorstranger-1-1,Bangime-1_guestorstranger-1,jīī-tūwⁿɔ̀,2,false,expert,hantganfc,,,,1
Bangime-1_guestorstranger-1-2,Bangime-1_guestorstranger-1,jīī-tūwⁿɔ̀,484,false,expert,hantganfc,,,,2
Fulfulde-1_guestorstranger-1-1,Fulfulde-1_guestorstranger-1,koɗɗo,11,false,expert,hantganfc,,,,1
Jenaama-1_guestorstranger-1-1,Jenaama-1_guestorstranger-1,súmū,12,false,expert,hantganfc,,,,1
BenTey-1_guestorstranger-1-1,BenTey-1_guestorstranger-1,lò:sú-m,4,false,expert,hantganfc,,,,1
BenTey-1_guestorstranger-1-2,BenTey-1_guestorstranger-1,lò:sú-m,5,false,expert,hantganfc,,,,2
BankanTey-1_guestorstranger-1-1,BankanTey-1_guestorstranger-1,ǹdòsú-m,4,false,expert,hantganfc,,,,1
BankanTey-1_guestorstranger-1-2,BankanTey-1_guestorstranger-1,ǹdòsú-m,5,false,expert,hantganfc,,,,2
Nanga-1_guestorstranger-1-1,Nanga-1_guestorstranger-1,lò:sí,4,false,expert,hantganfc,,,,1
PergeTegu-1_guestorstranger-1-1,PergeTegu-1_guestorstranger-1,lò:sú-n,4,false,expert,hantganfc,,,,1
PergeTegu-1_guestorstranger-1-2,PergeTegu-1_guestorstranger-1,lò:sú-n,5,false,expert,hantganfc,,,,2
Gourou-1_guestorstranger-1-1,Gourou-1_guestorstranger-1,yérí-n,7,false,expert,hantganfc,,,,1
Gourou-1_guestorstranger-1-2,Gourou-1_guestorstranger-1,yérí-n,5,false,expert,hantganfc,,,,2
TogoKan-1_guestorstranger-1-1,TogoKan-1_guestorstranger-1,yéríⁿ,7,false,expert,hantganfc,,,,1
YornoSo-1_guestorstranger-1-1,YornoSo-1_guestorstranger-1,yér-nɛ́,7,false,expert,hantganfc,,,,1
YornoSo-1_guestorstranger-1-2,YornoSo-1_guestorstranger-1,yér-nɛ́,10,false,expert,hantganfc,,,,2
TommoSo-1_guestorstranger-1-1,TommoSo-1_guestorstranger-1,yòùnjì-nɛ́,4,false,expert,hantganfc,,,,1
TommoSo-1_guestorstranger-1-2,TommoSo-1_guestorstranger-1,yòùnjì-nɛ́,10,false,expert,hantganfc,,,,2
DogulDom-1_guestorstranger-1-1,DogulDom-1_guestorstranger-1,yàrùwúl,7,false,expert,hantganfc,,,,1
DogulDom-1_guestorstranger-1-2,DogulDom-1_guestorstranger-1,yàrùwúl,8,false,expert,hantganfc,,,,2
TebulUre-1_guestorstranger-1-1,TebulUre-1_guestorstranger-1,lògòdé:,4,false,expert,hantganfc,,,,1
TebulUre-1_guestorstranger-1-2,TebulUre-1_guestorstranger-1,lògòdé:,19,false,expert,hantganfc,,,,2
YandaDom-1_guestorstranger-1-1,YandaDom-1_guestorstranger-1,nò_nò:zù,22,false,expert,hantganfc,,,,1
YandaDom-1_guestorstranger-1-2,YandaDom-1_guestorstranger-1,nò_nò:zù,4,false,expert,hantganfc,,,,2
BonduSo-1_guestorstranger-1-1,BonduSo-1_guestorstranger-1,bèmbǎ:,6,false,expert,hantganfc,,,,1
Bunoge-1_guestorstranger-1-1,Bunoge-1_guestorstranger-1,dó:njì,4,false,expert,hantganfc,,,,1
DonnoSo-1_guestorstranger-1-1,DonnoSo-1_guestorstranger-1,wòɲjù-nɔ́,4,false,expert,hantganfc,,,,1
DonnoSo-1_guestorstranger-1-2,DonnoSo-1_guestorstranger-1,wòɲjù-nɔ́,10,false,expert,hantganfc,,,,2
TiranigeDiga-1_guestorstranger-1-1,TiranigeDiga-1_guestorstranger-1,bí:má,6,false,expert,hantganfc,,,,1
Penange-1_guestorstranger-1-1,Penange-1_guestorstranger-1,bì:mbà,6,false,expert,hantganfc,,,,1
Mombo-1_guestorstranger-1-1,Mombo-1_guestorstranger-1,gìlà-gílí,13,false,expert,hantganfc,,,,1
