ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Concept_in_Source,Borrowing
TebulUre-5_answer-1,103,TebulUre,5_answer,"sá:m (sá:m-tì-), sá (sá-tì-)",sá:m,s ⁵/aː + m,,Hantgan2022,1677,,,,,0
YandaDom-5_answer-1,104,YandaDom,5_answer,"m̀bò sá:, sá:",m̀bò_sá:,ⁿb ¹/o + s ⁵/aː,,Hantgan2022,2097,,,,,0
Bunoge-5_answer-1,105,Bunoge,5_answer,kíjɛ̀,kíjɛ̀,k ⁵/i + dʒ ¹/ɛ,,Hantgan2022,1647,,,,,0
Jamsay-5_answer-1,106,Jamsay,5_answer,"sá:, ká: sá:",sá:,s ⁵/aː,,Hantgan2022,1677,,,,,0
TiranigeDiga-5_answer-1,107,TiranigeDiga,5_answer,cígírɔ́,cígírɔ́,tʃ ⁵/i ɡ ⁵/i + r ⁵/ɔ,,Hantgan2022,1987,,,,,0
Mombo-5_answer-1,108,Mombo,5_answer,"ábúlè, kízɛ́",ábúlè,⁵/a b ⁵/u + l ¹/e,,Hantgan2022,1813,,,,,0
Penange-5_answer-1,109,Penange,5_answer,"kíjɛ́, jámbé",kíjɛ́,k ⁵/i + dʒ ⁵/ɛ,,Hantgan2022,1647,,,,,0
TomoKan-5_answer-1,110,TomoKan,5_answer,sáwá,sáwá,s ⁵/a + w ⁵/a,,Hantgan2022,1677,,,,,0
Soninke-5_answer-1,111,Soninke,5_answer,ɲímí,ɲímí,ɲ ⁵/i m ⁵/i,,Hantgan2022,3383,,,,,0
TogoKan-5_answer-1,112,TogoKan,5_answer,sá:,sá:,s ⁵/aː,,Hantgan2022,1677,,,,,0
Fulfulde-6_armpit-1,113,Fulfulde,6_armpit,nawki,nawki,n a w + k i,,Hantgan2022,309,,,,,0
BozoHainyaxo-6_armpit-1,114,BozoHainyaxo,6_armpit,kabaatiⁿmɔ,kabaatiⁿmɔ,k a b aː t ĩ + m ɔ,,Hantgan2022,3490,,,,,74
Bangime-6_armpit-1,115,Bangime,6_armpit,kōmpàà,kōmpàà,k ³/o ⁿp ¹/aː,,Hantgan2022,2619,,,,,74
Jenaama-6_armpit-1,116,Jenaama,6_armpit,kɛ̄lɛ̄mù,kɛ̄lɛ̄mù,k ³/ɛ l ³/ɛ + m ¹/u,,Hantgan2022,3543,,,,,0
TebulUre-6_armpit-1,117,TebulUre,6_armpit,kà-kàrá,kà-kàrá,k ¹/a + k ¹/a r ⁵/a,,Hantgan2022,2249,,,,,0
ToroTegu-6_armpit-1,118,ToroTegu,6_armpit,ìrkílá,ìr-kílá,¹/i r + k ⁵/i l ⁵/a,,Hantgan2022,2197,,,,,0
BenTey-6_armpit-1,119,BenTey,6_armpit,àrkɛ́lɛ̀,àr-kɛ́lɛ̀,¹/a r + k ⁵/ɛ l ¹/ɛ,,Hantgan2022,2197,,,,,0
BankanTey-6_armpit-1,120,BankanTey,6_armpit,árkɛ́ndɛ̀,ár-kɛ́ndɛ̀,⁵/a r + k ⁵/ɛ ⁿd ¹/ɛ,,Hantgan2022,2197,,,,,0
Nanga-6_armpit-1,121,Nanga,6_armpit,"ɛ̀rɛ̀-kɛ̀ndɛ̂, ɛ̀rɛ̀-gɛ̀ndɛ̂",ɛ̀rɛ̀-kɛ̀ndɛ̂,¹/ɛ r ¹/ɛ + k ¹/ɛ ⁿd ¹⁵/ɛ,,Hantgan2022,2197,,,,,0
PergeTegu-6_armpit-1,122,PergeTegu,6_armpit,kà-kàrá,kà-kàrá,k ¹/a + k ¹/a r ⁵/a,,Hantgan2022,2249,,,,,0
Gourou-6_armpit-1,123,Gourou,6_armpit,kìkàrá,kì-kàrá,k ¹/i + k ¹/a r ⁵/a,,Hantgan2022,2249,,,,,0
TogoKan-6_armpit-1,124,TogoKan,6_armpit,kàkàrá,kà-kàrá,k ¹/a + k ¹/a r ⁵/a,,Hantgan2022,2249,,,,,0
YornoSo-6_armpit-1,125,YornoSo,6_armpit,kí-kárú,kí-kárú,k ⁵/i + k ⁵/a r ⁵/u,,Hantgan2022,2249,,,,,0
TommoSo-6_armpit-1,126,TommoSo,6_armpit,ká-kárú,ká-kárú,k ⁵/a + k ⁵/a r ⁵/u,,Hantgan2022,2249,,,,,0
DogulDom-6_armpit-1,127,DogulDom,6_armpit,kárà-kàrà,kárà-kàrà,k ⁵/a r ¹/a + k ¹/a r ¹/a,,Hantgan2022,2249,,,,,0
YandaDom-6_armpit-1,128,YandaDom,6_armpit,kàgádà ~ kà-kádà,kà-gádà,k ¹/a + ɡ ⁵/a d ¹/a,,Hantgan2022,2249,,,,,0
BonduSo-6_armpit-1,129,BonduSo,6_armpit,kàkàrâ: kùl,kàkàrâ:-kùl,k ¹/a + k ¹/a r ⁵¹/aː + k ¹/u l,,Hantgan2022,2249,,,,,0
DonnoSo-6_armpit-1,130,DonnoSo,6_armpit,nùmɔ̀-[kárù-kàrù],kárù-kàrù,k ⁵/a r ¹/u + k ¹/a r ¹/u,,Hantgan2022,2249,,,,,0
Jamsay-6_armpit-1,131,Jamsay,6_armpit,kì-kàrá,kì-kàrá,k ¹/i + k ¹/a r ⁵/a,,Hantgan2022,2249,,,,,0
TomoKan-6_armpit-1,132,TomoKan,6_armpit,kì-kàrà,kì-kàrà,k ¹/i + k ¹/a r ¹/a,,Hantgan2022,2249,,,,,0
TiranigeDiga-6_armpit-1,133,TiranigeDiga,6_armpit,kàrà-kàrà,kàrà-kàrà,k ¹/a r ¹/a + k ¹/a r ¹/a,,Hantgan2022,2249,,,,,0
Mombo-6_armpit-1,134,Mombo,6_armpit,"kárá-kárá súgù, kárákárá",kárá-kárá_súgù,k ⁵/a r ⁵/a + k ⁵/a r ⁵/a + s ⁵/u ɡ ¹/u,,Hantgan2022,2249,,,,,0
Penange-6_armpit-1,135,Penange,6_armpit,"kàrà-kàrà, kàrà-kàrà súgù",kàrà-kàrà,k ¹/a r ¹/a + k ¹/a r ¹/a,,Hantgan2022,2249,,,,,0
SonghaiKiini-6_armpit-1,136,SonghaiKiini,6_armpit,fát-ò,fát-ò,f ⁵/a t + ¹/o,,Hantgan2022,3888,,,,,0
SonghaiSenni-6_armpit-1,137,SonghaiSenni,6_armpit,fàt-ò,fàt-ò,f ¹/a t + ¹/o,,Hantgan2022,3888,,,,,0
ToroSo-6_armpit-1,138,ToroSo,6_armpit,ká kárú,ká kárú,k ⁵/a + k ⁵/a r ⁵/u,,Hantgan2022,2249,,,,,0
BonduSo-6_armpit-2,139,BonduSo,6_armpit,kárá kàrá,kárá kàrá,k ⁵/a r ⁵/a + k ¹/a r ⁵/a,,Hantgan2022,2249,,,,,0
Bambara-6_armpit-1,140,Bambara,6_armpit,nàná,nàná,n ⁵/a n ¹/a,,Hantgan2022,3480,,,,,0
Bangime-7_arrive-1,141,Bangime,7_arrive,twàà-rà,twàà-rà,t w ¹/aː + r ¹/a,,Hantgan2022,2640,,,,,90
Fulfulde-7_arrive-1,142,Fulfulde,7_arrive,yott-aade,yott-aade,j o t t + aː d e,,Hantgan2022,318,,,,,0
Jenaama-7_arrive-1,143,Jenaama,7_arrive,kìyɛ̀wⁿ,kìyɛ̀wⁿ,k ¹/i j ¹/ɛ + ∼/w̃,,Hantgan2022,2648,,,,,0
BozoDebo-7_arrive-1,144,BozoDebo,7_arrive,be,be,b e,,Hantgan2022,3554,,,,,0
BozoKorondougounord-7_arrive-1,145,BozoKorondougounord,7_arrive,be,be,b e,,Hantgan2022,3554,,,,,0
BozoKorondougousud-7_arrive-1,146,BozoKorondougousud,7_arrive,be,be,b e,,Hantgan2022,3554,,,,,0
SonghaiSenni-7_arrive-1,147,SonghaiSenni,7_arrive,tó:,tó:,t ⁵/oː,,Hantgan2022,3891,,,,,91
ToroTegu-7_arrive-1,148,ToroTegu,7_arrive,dɔ́,dɔ́,d ⁵/ɔ,,Hantgan2022,2287,,,,,91
BenTey-7_arrive-1,149,BenTey,7_arrive,dɔ̌,dɔ̌,d ¹⁵/ɔ,,Hantgan2022,2287,,,,,91
Nanga-7_arrive-1,150,Nanga,7_arrive,dɔ̌:,dɔ̌:,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
Gourou-7_arrive-1,151,Gourou,7_arrive,dɔ́:,dɔ́:,d ⁵/ɔː,,Hantgan2022,2287,,,,,91
YornoSo-7_arrive-1,152,YornoSo,7_arrive,dɔ̌:,dɔ̌:,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
TommoSo-7_arrive-1,153,TommoSo,7_arrive,dɔ̀ɔ́,dɔ̀ɔ́,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
DogulDom-7_arrive-1,154,DogulDom,7_arrive,dèé,dèé,d ¹⁵/eː,,Hantgan2022,2287,,,,,91
TebulUre-7_arrive-1,155,TebulUre,7_arrive,"dɔ̌ (dɔ̯-â:- ~ dɔ̌y-yà-, perf neg dɔ̯à-lí-)",dɔ̌,d ¹⁵/ɔ,,Hantgan2022,2287,,,,,91
BonduSo-7_arrive-1,156,BonduSo,7_arrive,dwɛ̂:,dw-ɛ̂:,d w + ⁵¹/ɛː,,Hantgan2022,2282,,,,,90
Bunoge-7_arrive-1,157,Bunoge,7_arrive,dínnɛ̀,dínnɛ̀,d ⁵/i n + n ¹/ɛ,,Hantgan2022,2306,,,,,0
TiranigeDiga-7_arrive-1,158,TiranigeDiga,7_arrive,áyó,áyó,⁵/a j ⁵/o,,Hantgan2022,351,,,,,0
Mombo-7_arrive-1,159,Mombo,7_arrive,dínyɛ̂:,dín-yɛ̂:,d ⁵/i n + j ⁵¹/ɛː,,Hantgan2022,2306,,,,,0
Penange-7_arrive-1,160,Penange,7_arrive,túbyɛ̀,túb-yɛ̀,t ⁵/u b + j ¹/ɛ,,Hantgan2022,2306,,,,,0
BankanTey-7_arrive-1,161,BankanTey,7_arrive,dɔ́,dɔ́,d ⁵/ɔ,,Hantgan2022,2287,,,,,91
Jamsay-7_arrive-1,162,Jamsay,7_arrive,dɔ̌:,dɔ̌:,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
PergeTegu-7_arrive-1,163,PergeTegu,7_arrive,ná,dɔ̌:,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
TomoKan-7_arrive-1,164,TomoKan,7_arrive,ná:,dɔ̌:,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
YandaDom-7_arrive-1,165,YandaDom,7_arrive,dɔ́,dɔ́,d ⁵/ɔ,,Hantgan2022,2287,,,,,91
TogoKan-7_arrive-1,166,TogoKan,7_arrive,dɔ̌:,dɔ̌:,d ¹⁵/ɔː,,Hantgan2022,2287,,,,,91
SonghaiKiini-7_arrive-1,167,SonghaiKiini,7_arrive,tɔ́:,tɔ́:,t ɔː,,Hantgan2022,3891,,,,,91
ToroSo-7_arrive-1,168,ToroSo,7_arrive,dɔ̀ɔ̀,dɔ̀ɔ̀,d ¹/ɔː,,Hantgan2022,2287,,,,,91
ToroTegu-8_ash-1,169,ToroTegu,8_ash,dòwⁿòsú,dòwⁿòsú,d ¹/o w̃ ¹/o + s ⁵/u,,Hantgan2022,434,,,,,0
BenTey-8_ash-1,170,BenTey,8_ash,dɔ̀yⁿɔ̌yⁿ,dɔ̀yⁿɔ̌yⁿ,d ¹/ɔ j̃ ¹⁵/ɔ + j̃,,Hantgan2022,354,,,,,0
Nanga-8_ash-1,171,Nanga,8_ash,dùyá,dùyá,d ¹/u j ⁵/a,,Hantgan2022,368,,,,,116
PergeTegu-8_ash-1,172,PergeTegu,8_ash,dɔ̀yⁿɔ́,dɔ̀yⁿɔ́,d ¹/ɔ j̃ ⁵/ɔ,,Hantgan2022,368,,,,,116
Gourou-8_ash-1,173,Gourou,8_ash,ɛ́:rⁿɛ̀,ɛ́:rⁿɛ̀,⁵/ɛː r̃ ¹/ɛ,,Hantgan2022,357,,,,,0
TogoKan-8_ash-1,174,TogoKan,8_ash,dɔ̀yⁿɛ́,dɔ̀yⁿɛ́,d ¹/ɔ j̃ ⁵/ɛ,,Hantgan2022,368,,,,,116
YornoSo-8_ash-1,175,YornoSo,8_ash,únɔ̀,únɔ̀,⁵/u n ¹/ɔ,,Hantgan2022,440,,,,,0
TommoSo-8_ash-1,176,TommoSo,8_ash,"ɔ́índɛ́, úndɔ́",úndɔ́,⁵/u ⁿd ⁵/ɔ,,Hantgan2022,383,,,,,0
DogulDom-8_ash-1,177,DogulDom,8_ash,dɔ́ɔ̀,dɔ́ɔ̀,d ⁵¹/ɔː,,Hantgan2022,383,,,,,0
TebulUre-8_ash-1,178,TebulUre,8_ash,dɔ̀ɛ́,dɔ̀ɛ́,d ¹/ɔ ⁵/ɛ,,Hantgan2022,383,,,,,0
YandaDom-8_ash-1,179,YandaDom,8_ash,dɔ̀yⁿɛ̀,dɔ̀yⁿɛ̀,d ¹/ɔ j̃ ¹/ɛ,,Hantgan2022,368,,,,,116
BonduSo-8_ash-1,180,BonduSo,8_ash,dɔ̀dɛ̌:ŋgó\\dɔ̀dɛ̌:,dɔ̀dɛ̌:-ŋgó,d ¹/ɔ d ¹⁵/ɛː + ⁿɡ ⁵/o,,Hantgan2022,368,,,,,116
Ampari-8_ash-1,181,Ampari,8_ash,dɔ̀:yé_(dɔ̀:yé_gè),dɔ̀:yé-gè,d ¹/ɔː j ⁵/e + ɡ ¹/e,,Hantgan2022,368,,,,,116
Bunoge-8_ash-1,182,Bunoge,8_ash,díwɔ̀,díwɔ̀,d ⁵/i w ¹/ɔ,,Hantgan2022,368,,,,,116
DonnoSo-8_ash-1,183,DonnoSo,8_ash,úndɔ̀,úndɔ̀,⁵/u ⁿd ¹/ɔ,,Hantgan2022,383,,,,,0
TomoKan-8_ash-1,184,TomoKan,8_ash,dwɛ́ⁿ,dwɛ́ⁿ,d w ⁵/ɛ̃,,Hantgan2022,401,,,,,0
