ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Concept_in_Source,Borrowing
SonghaiKiini-2_toage-1,28,SonghaiKiini,2_toage,zé:n,zé:n,z ⁵/eː n,,Hantgan2022,3584,,,,,0
SonghaiSenni-2_toage-1,29,SonghaiSenni,2_toage,zé:n,zé:n,z ⁵/eː n,,Hantgan2022,3584,,,,,0
Bangime-2_toage-1,30,Bangime,2_toage,ɡwìì,ɡwìì,ɡ w ¹/iː,,Hantgan2022,2319,,,,,0
Fulfulde-2_toage-1,31,Fulfulde,2_toage,naywude,nayw-ude,n a j w + u d e,,Hantgan2022,307,,,,,0
ToroTegu-2_toage-1,32,ToroTegu,2_toage,yɔ̌w,yɔ̌w,j ¹⁵/ɔ w,,Hantgan2022,702,,,,,0
BenTey-2_toage-1,33,BenTey,2_toage,pɛ́,pɛ́,p ⁵/ɛ,,Hantgan2022,617,,,,,0
Nanga-2_toage-1,34,Nanga,2_toage,pɛ́:,pɛ́:,p ⁵/ɛː,,Hantgan2022,617,,,,,0
Gourou-2_toage-1,35,Gourou,2_toage,pɛ́:ⁿ,pɛ́:ⁿ,p ⁵/ɛ̃ː,,Hantgan2022,617,,,,,0
YornoSo-2_toage-1,36,YornoSo,2_toage,pɛ́:-,pɛ́:,p ⁵/ɛː,,Hantgan2022,617,,,,,0
TommoSo-2_toage-1,37,TommoSo,2_toage,"pɛ́ɛ́ⁿ, pííⁿ-yɛ́",pɛ́ɛ́ⁿ,p ⁵/ɛ̃ː,,Hantgan2022,617,,,,,0
DogulDom-2_toage-1,38,DogulDom,2_toage,páy-ndìyè,páy-ndìyè,p ⁵/a j + ⁿd ¹/i + j ¹/e,,Hantgan2022,1761,,,,,0
TebulUre-2_toage-1,39,TebulUre,2_toage,"pɛ́ (pɛ́-yà-, pɛ́-sɔ̀-, pèyà-lí-)",pɛ́,p ⁵/ɛ,,Hantgan2022,617,,,,,0
BonduSo-2_toage-1,40,BonduSo,2_toage,kúnjɛ́,kúnjɛ́,k ⁵/u ⁿdʒ ⁵/ɛ,,Hantgan2022,1169,,,,,0
Bunoge-2_toage-1,41,Bunoge,2_toage,"kɛ̀mnɔ̀ kánì, kɛ̀mnɔ̀ bílè",kɛ̀mnɔ̀_kánì,k ¹/ɛ m n ¹/ɔ + k ⁵/a n ¹/i,,Hantgan2022,1473,,,,,0
DonnoSo-2_toage-1,42,DonnoSo,2_toage,páy-nd-ɛ̀:-,páy-ndɛ̀:,p ⁵/a j + ⁿd ¹/ɛː,,Hantgan2022,1761,,,,,0
TomoKan-2_toage-1,43,TomoKan,2_toage,pyɛ́:ⁿ,pyɛ́:ⁿ,p j ⁵/ɛ̃ː,,Hantgan2022,617,,,,,0
TiranigeDiga-2_toage-1,44,TiranigeDiga,2_toage,kúnjó,kúnjó,k ⁵/u ⁿdʒ ⁵/o,,Hantgan2022,1169,,,,,0
Mombo-2_toage-1,45,Mombo,2_toage,ká:nú kánì,ká:nú_kánì,k ⁵/aː n ⁵/u + k ⁵/a n ¹/i,,Hantgan2022,1473,,,,,0
Penange-2_toage-1,46,Penange,2_toage,ká:mnɔ́ kán,ká:mnɔ́_kán,k ⁵/aː m n ⁵/ɔ + k ⁵/a n,,Hantgan2022,1473,,,,,0
BankanTey-2_toage-1,47,BankanTey,2_toage,pɛ́,pɛ́,p ⁵/ɛ,,Hantgan2022,617,,,,,0
Jamsay-2_toage-1,48,Jamsay,2_toage,pɛ́:ⁿ,pɛ́:ⁿ,p ⁵/ɛ̃ː,,Hantgan2022,617,,,,,0
PergeTegu-2_toage-1,49,PergeTegu,2_toage,pɛ́:,pɛ́:,p ⁵/ɛː,,Hantgan2022,617,,,,,0
TogoKan-2_toage-1,50,TogoKan,2_toage,pɛ́:ⁿ,pɛ́:ⁿ,p ⁵/ɛ̃ː,,Hantgan2022,617,,,,,0
YandaDom-2_toage-1,51,YandaDom,2_toage,pɛ́:,pɛ́:,p ⁵/ɛː,,Hantgan2022,617,,,,,0
ToroSo-2_toage-1,52,ToroSo,2_toage,pèy pèy,pèy pèy,p ¹/e j + p ¹/e j,,Hantgan2022,1761,,,,,0
ToroSo-2_toage-2,53,ToroSo,2_toage,péỳ,pé-ỳ,p ⁵/e + j,,Hantgan2022,617,,,,,0
BonduSo-2_toage-2,54,BonduSo,2_toage,kùnjì-lé,kùnjì-lé,k ¹/u ⁿdʒ ¹/i + l ⁵/e,,Hantgan2022,1169,,,,,0
Bambara-3_ancestors-1,55,Bambara,3_ancestors,bɛ́ⁿbá,bɛ́ⁿbá,b ⁵/ɛ̃ b ⁵/a,,Hantgan2022,2815,,,,,0
SonghaiKiini-3_ancestors-1,56,SonghaiKiini,3_ancestors,kàà,kàà,k ¹/aː,,Hantgan2022,3628,,,,,25
Mombo-3_ancestors-1,57,Mombo,3_ancestors,ńdá kúnjù,ńdá_kúnjù,ⁿd ⁵/a + k ⁵/u ⁿdʒ ¹/u,,Hantgan2022,844,,,,,0
TommoSo-3_ancestors-1,58,TommoSo,3_ancestors,ǹdɛ̀ émmé mɔ̀ɛ̀-mì-nɛ́,mɔ̀ɛ̀-mì-nɛ́,m ¹/ɔ ¹/ɛ + m ¹/i + n ⁵/ɛ,,Hantgan2022,1004,,,,,0
Nanga-3_ancestors-1,59,Nanga,3_ancestors,nù: dùgí\\dùgú,dùgú,d ¹/u ɡ ⁵/u,,Hantgan2022,868,,,,,0
ToroTegu-3_ancestors-1,60,ToroTegu,3_ancestors,tɛ̀ná\\mǎ:,tɛ̀ná,t ¹/ɛ n ⁵/a,,Hantgan2022,868,,,,,0
YornoSo-3_ancestors-1,61,YornoSo,3_ancestors,tírɛ́,tírɛ́,t ⁵/i r ⁵/ɛ,,Hantgan2022,868,,,,,0
PergeTegu-3_ancestors-1,62,PergeTegu,3_ancestors,tìrɛ́,tìrɛ́,t ¹/i r ⁵/ɛ,,Hantgan2022,868,,,,,0
TogoKan-3_ancestors-1,63,TogoKan,3_ancestors,tìrɛ́,tìrɛ́,t ¹/i r ⁵/ɛ,,Hantgan2022,868,,,,,0
Fulfulde-3_ancestors-1,64,Fulfulde,3_ancestors,njaatiraaɗoo,njaatiraa-ɗoo,ⁿdʒ aː t i r aː + ɗ oː,,Hantgan2022,79,,,,,0
BenTey-3_ancestors-1,65,BenTey,3_ancestors,kùmbó,kùmbó,k ¹/u ⁿb ⁵/o,,Hantgan2022,722,,,,,0
SonghaiSenni-3_ancestors-1,66,SonghaiSenni,3_ancestors,kà:jè ~ kà:gè,kà:gè,k ¹/aː ɡ ¹/e,,Hantgan2022,3628,,,,,25
Bangime-3_ancestors-1,67,Bangime,3_ancestors,kāàⁿ,kāàⁿ,k ¹³/ãː,,Hantgan2022,2386,,,,,25
Bangime-4_animal-1,68,Bangime,4_animal,jíríbɛ̀,jíríbɛ̀,j ⁵/i r ⁵/i + b ¹/ɛ,,Hantgan2022,2434,,,,,0
BozoKorondougounord-4_animal-1,69,BozoKorondougounord,4_animal,biraⁿteu,biraⁿteu,b i r a + ⁿt e u,,Hantgan2022,3019,,,,,28
BozoTiemaCewe-4_animal-1,70,BozoTiemaCewe,4_animal,koⁿoⁿbo,koⁿoⁿbo,k õː b o,,Hantgan2022,3030,,,,,40
ToroTegu-4_animal-1,71,ToroTegu,4_animal,àrùzàká,àrùzàká,¹/a r ¹/u + z ¹/a k ⁵/a,,Hantgan2022,1089,,,,,0
BenTey-4_animal-1,72,BenTey,4_animal,àrsɛ̌:-m,àrsɛ̌:-m,¹/a r + s ¹⁵/ɛː + m,,Hantgan2022,1089,,,,,0
BankanTey-4_animal-1,73,BankanTey,4_animal,dá:bà-m,dá:bà-m,d ⁵/aː b ¹/a + m,,Hantgan2022,1060,,,,,29
Nanga-4_animal-1,74,Nanga,4_animal,gàsɛ̀gɛ́,gàsɛ̀gɛ́,ɡ ¹/a + s ¹/ɛ ɡ ⁵/ɛ,,Hantgan2022,1089,,,,,0
PergeTegu-4_animal-1,75,PergeTegu,4_animal,àsɛ̀gɛ́,àsɛ̀gɛ́,¹/a + s ¹/ɛ ɡ ⁵/ɛ,,Hantgan2022,1089,,,,,0
Gourou-4_animal-1,76,Gourou,4_animal,gàrsɛ̀gɛ́,gàrsɛ̀gɛ́,ɡ ¹/a r + s ¹/ɛ ɡ ⁵/ɛ,,Hantgan2022,1089,,,,,0
TogoKan-4_animal-1,77,TogoKan,4_animal,gìrⁿí árúsɛ̀gɛ̀,gìrⁿí_árúsɛ̀gɛ̀,ɡ ¹/i r̃ + ⁵/i + ⁵/a r ⁵/u + s ¹/ɛ ɡ ¹/ɛ,,Hantgan2022,1497,,,,,0
YornoSo-4_animal-1,78,YornoSo,4_animal,àrùsɛ̀gɛ́,àrùsɛ̀gɛ́,¹/a r ¹/u + s ¹/ɛ ɡ ⁵/ɛ,,Hantgan2022,1089,,,,,0
TommoSo-4_animal-1,79,TommoSo,4_animal,gìnɛ̀-ý bɛ̀lù,bɛ̀lú,b ¹/ɛ l ⁵/u,,Hantgan2022,1234,,,,,28
DogulDom-4_animal-1,80,DogulDom,4_animal,"bɛ́lɛ̀g, bɛ́lɛ̀gù",bɛ́lɛ̀gù,b ⁵/ɛ l ¹/ɛ + ɡ ¹/u,,Hantgan2022,1234,,,,,28
YandaDom-4_animal-1,81,YandaDom,4_animal,àzɛ̀gɛ̀,àzɛ̀gɛ̀,¹/a + z ¹/ɛ ɡ ¹/ɛ,,Hantgan2022,1089,,,,,0
BonduSo-4_animal-1,82,BonduSo,4_animal,dúmɛ́-ŋgó,dúmɛ́-ŋgó,d ⁵/u m ⁵/ɛ + ⁿɡ ⁵/o,,Hantgan2022,1112,,,,,0
Bunoge-4_animal-1,83,Bunoge,4_animal,kɔ́mbɔ̀,kɔ́mbɔ̀,k ⁵/ɔ ⁿb ¹/ɔ,,Hantgan2022,1170,,,,,40
DonnoSo-4_animal-1,84,DonnoSo,4_animal,bɛ̀lú,bɛ̀lú,b ¹/ɛ l ⁵/u,,Hantgan2022,1234,,,,,28
TiranigeDiga-4_animal-1,85,TiranigeDiga,4_animal,bèl,bèl,b ¹/e l,,Hantgan2022,1234,,,,,28
Mombo-4_animal-1,86,Mombo,4_animal,"dèbù bɛ́lí, bɛ́lí",dèbù_bɛ́lí,d ¹/e b ¹/u + b ⁵/ɛ l ⁵/i,,Hantgan2022,1060,,,,,29
Jamsay-4_animal-1,87,Jamsay,4_animal,àsɛ̀gɛ́,àsɛ̀gɛ́,¹/a + s ¹/ɛ ɡ ⁵/ɛ,,Hantgan2022,1089,,,,,0
TebulUre-4_animal-1,88,TebulUre,4_animal,àsɛ̀gɛ́,àsɛ̀gɛ́,¹/a + s ¹/ɛ ɡ ⁵/ɛ,,Hantgan2022,1089,,,,,0
ToroSo-4_animal-1,89,ToroSo,4_animal,gìnì bɛ́l,gìnì bɛ́l,ɡ ¹/i n ¹/i + b ⁵/ɛ l,,Hantgan2022,1548,,,,,0
ToroSo-4_animal-2,90,ToroSo,4_animal,ásɛ̀ɡɛ̀,ásɛ̀ɡɛ̀,⁵/a + s ¹/ɛ ɡ ¹/ɛ,,Hantgan2022,1089,,,,,0
BonduSo-4_animal-2,91,BonduSo,4_animal,dúmɛ́ɛ̀,dúmɛ́ɛ̀,d ⁵/u m ⁵¹/ɛː,,Hantgan2022,1112,,,,,0
Fulfulde-4_animal-1,9621,Fulfulde,4_animal,daaba,daaba,d aː b a,,Hantgan2022,900,,,,,29
Jenaama-4_animal-1,9622,Jenaama,4_animal,dààbā,dààbā,d ¹/aː b ³/a,,Hantgan2022,1113,,,,,29
SonghaiKiini-4_animal-1,9623,SonghaiKiini,4_animal,?,?,d ⁵/aː bː ¹/a,,Hantgan2022,2896,,,,,29
Soninke-4_animal-1,9624,Soninke,4_animal,?,?,d ⁵/aː b ¹/a,,Hantgan2022,2902,,,,,29
TomoKan-4_animal-1,9625,TomoKan,4_animal,?,?,d ⁵/aː b ⁵/aː,,Hantgan2022,2309,,,,,29
Penange-4_animal-1,9626,Penange,4_animal,?,?,d ⁵/aː b ⁵/a,,Hantgan2022,2309,,,,,29
BankanTey-4_animal-2,9635,BankanTey,4_animal,jáwdì-m,jáwdì-m,dʒ ⁵/a w d ¹/i + m,,Hantgan2022,3897,,,,,29
Bangime-5_answer-1,92,Bangime,5_answer,jòò-rò,jòò-rò,j ¹/oː + r ¹/o,,Hantgan2022,2528,,,,,0
Bambara-5_answer-1,93,Bambara,5_answer,lámìnɛ́,lámìnɛ́,l ⁵/a + m ¹/i n ⁵/ɛ,,Hantgan2022,3204,,,,,0
ToroTegu-5_answer-1,94,ToroTegu,5_answer,císú,císú,tʃ ⁵/i + s ⁵/u,,Hantgan2022,2097,,,,,0
BenTey-5_answer-1,95,BenTey,5_answer,"sá, mǒ: sá",sá,s ⁵/a,,Hantgan2022,1677,,,,,0
BankanTey-5_answer-1,96,BankanTey,5_answer,kísɛ́,kísɛ́,k ⁵/i + s ⁵/ɛ,,Hantgan2022,1647,,,,,0
Nanga-5_answer-1,97,Nanga,5_answer,"sá:, nɔ̌: sá:",sá:,s ⁵/aː,,Hantgan2022,1677,,,,,0
PergeTegu-5_answer-1,98,PergeTegu,5_answer,sá:,sá:,s ⁵/aː,,Hantgan2022,1677,,,,,0
Gourou-5_answer-1,99,Gourou,5_answer,"ká: sá:, sá:",ká:_sá:,k ⁵/aː + s ⁵/aː,,Hantgan2022,1647,,,,,0
YornoSo-5_answer-1,100,YornoSo,5_answer,sá:-,sá:,s ⁵/aː,,Hantgan2022,1677,,,,,0
TommoSo-5_answer-1,101,TommoSo,5_answer,"sáwá, yàbí-lɛ́",sáwá,s ⁵/a + w ⁵/a,,Hantgan2022,1677,,,,,0
DogulDom-5_answer-1,102,DogulDom,5_answer,"kísɛ̀, kígìl-mè",kísɛ̀,k ⁵/i + s ¹/ɛ,,Hantgan2022,1647,,,,,0
