Concept	Eastern_Songhai	Isolate	North-Central_Atlantic	North-Eastern_Dogon	North-Western_Dogon	Soninke-Bozo	South-Eastern_Dogon	South-Western_Dogon	Western_Mande	BORROWING	PATTERN	SUBGROUP	REFLEXES
HAIR	0	0	0	0	0	0	0	0	1	3965	0 0 0 0 0 0 0 0 1	1	1
FIVE	0	0	0	0	0	1	0	0	0	2437	0 0 0 0 0 1 0 0 0	1	1
FEAR (FRIGHT)	0	1	0	0	0	0	0	0	0		0 1 0 0 0 0 0 0 0	1	1
DIVIDE	0	0	0	0	0	0	0	2	1	1545	0 0 0 0 0 0 0 1 1	2	3
NOW	0	0	0	0	0	0	0	2	1	4792	0 0 0 0 0 0 0 1 1	2	3
OPEN	0	0	0	0	0	0	0	1	1	4916	0 0 0 0 0 0 0 1 1	2	2
SIMILAR	0	0	0	0	0	0	0	2	2	5959	0 0 0 0 0 0 0 1 1	2	4
SKY	0	0	0	0	0	0	0	2	1	6081	0 0 0 0 0 0 0 1 1	2	3
STRIKE OR BEAT	0	0	0	0	0	0	0	1	1	6554	0 0 0 0 0 0 0 1 1	2	2
FOOD	0	0	0	0	0	0	1	0	1	2557	0 0 0 0 0 0 1 0 1	2	2
LOOK	0	0	0	0	0	0	1	0	1	4024	0 0 0 0 0 0 1 0 1	2	2
SHEPHERD	0	0	0	0	0	0	1	0	1	5844	0 0 0 0 0 0 1 0 1	2	2
ANIMAL	0	0	0	0	0	1	0	1	0	40	0 0 0 0 0 1 0 1 0	2	2
BREATHE	0	0	0	0	0	5	0	1	0	762	0 0 0 0 0 1 0 1 0	2	6
DOG	0	0	0	0	0	1	0	1	0	1568	0 0 0 0 0 1 0 1 0	2	2
HUSBAND	0	0	0	0	0	2	0	3	0	3424	0 0 0 0 0 1 0 1 0	2	5
JOINT	0	0	0	0	0	1	0	1	0	3520	0 0 0 0 0 1 0 1 0	2	2
KNIFE	0	0	0	0	0	7	0	2	0	3676	0 0 0 0 0 1 0 1 0	2	9
MAIZE	0	0	0	0	0	3	0	3	0	67	0 0 0 0 0 1 0 1 0	2	6
MAN	0	0	0	0	0	2	0	2	0	4179	0 0 0 0 0 1 0 1 0	2	4
MONEY	0	0	0	0	0	1	0	1	0	4433	0 0 0 0 0 1 0 1 0	2	2
NAME	0	0	0	0	0	3	0	1	0	4578	0 0 0 0 0 1 0 1 0	2	4
