Concept	Atlantic	Dogon	Isolate	Mande	Songhai	BORROWING	PATTERN	FAMILIES	REFLEXES
FIVE	0	0	0	1	0	2437	0 0 0 1 0	1	1
HAIR	0	0	0	1	0	3965	0 0 0 1 0	1	1
FOOT OR LEG	0	5	0	0	0	2573	0 1 0 0 0	1	5
SHEEP	0	13	0	0	0	5833	0 1 0 0 0	1	13
RAZOR	1	0	0	0	0	5344	1 0 0 0 0	1	1
BEGIN	0	0	0	1	2	2	0 0 0 1 1	2	3
BELLY	0	0	0	1	1	30	0 0 0 1 1	2	2
FIVE	0	0	0	3	1	43	0 0 0 1 1	2	4
FOLD	0	0	0	1	1	44	0 0 0 1 1	2	2
KNEE	0	0	0	2	1	3639	0 0 0 1 1	2	3
MARRY	0	0	0	3	1	4245	0 0 0 1 1	2	4
NOSE	0	0	0	3	1	4766	0 0 0 1 1	2	4
PULL	0	0	0	7	1	5225	0 0 0 1 1	2	8
PULL	0	0	0	2	1	5229	0 0 0 1 1	2	3
SELL	0	0	0	1	1	5723	0 0 0 1 1	2	2
SPIRIT	0	0	0	1	1	193	0 0 0 1 1	2	2
TIE	0	0	0	5	1	7022	0 0 0 1 1	2	6
TOUCH	0	0	0	1	1	97	0 0 0 1 1	2	2
YEAR	0	0	0	1	1	7667	0 0 0 1 1	2	2
ANCESTORS	0	0	1	0	2	25	0 0 1 0 1	2	3
ARMPIT	0	0	1	1	0	74	0 0 1 1 0	2	2
BEARD	0	0	1	7	0	251	0 0 1 1 0	2	8
BLACKSMITH	0	0	1	1	0	514	0 0 1 1 0	2	2
CHICKEN	0	0	1	1	0	1093	0 0 1 1 0	2	2
CHIEFTAIN	0	0	1	2	0	1120	0 0 1 1 0	2	3
DOG	0	0	1	7	0	1563	0 0 1 1 0	2	8
EAR	0	0	1	18	0	1799	0 0 1 1 0	2	19
ELEPHANT	0	0	1	1	0	23	0 0 1 1 0	2	2
FIGHT	0	0	1	2	0	2284	0 0 1 1 0	2	3
FIND	0	0	1	10	0	2305	0 0 1 1 0	2	11
FOREHEAD	0	0	1	1	0	2599	0 0 1 1 0	2	2
FORGET	0	0	1	1	0	46	0 0 1 1 0	2	2
GET	0	0	1	1	0	47	0 0 1 1 0	2	2
GIVE BIRTH	0	0	1	2	0	2813	0 0 1 1 0	2	3
GOD	0	0	1	3	0	2917	0 0 1 1 0	2	4
GUEST OR STRANGER	0	0	1	2	0	3007	0 0 1 1 0	2	3
HOT	0	0	1	3	0	3361	0 0 1 1 0	2	4
HUSBAND	0	0	1	4	0	3419	0 0 1 1 0	2	5
IRON	0	0	1	1	0	57	0 0 1 1 0	2	2
KNEE	0	0	1	1	0	59	0 0 1 1 0	2	2
LIGHT (WEIGHT)	0	0	1	1	0	61	0 0 1 1 0	2	2
MAT	0	0	1	3	0	4264	0 0 1 1 0	2	4
MEAL	0	0	1	1	0	4287	0 0 1 1 0	2	2
MEDICINE	0	0	1	1	0	4323	0 0 1 1 0	2	2
MILLET	0	0	1	3	0	4393	0 0 1 1 0	2	4
NOBLE	0	0	1	2	0	4745	0 0 1 1 0	2	3
PIG	0	0	1	1	0	5112	0 0 1 1 0	2	2
RING	0	0	1	1	0	5405	0 0 1 1 0	2	2
SAY	0	0	1	3	0	5633	0 0 1 1 0	2	4
THROAT	0	0	1	2	0	6985	0 0 1 1 0	2	3
WIFE	0	0	1	1	0	89	0 0 1 1 0	2	2
ARRIVE	0	15	0	0	2	91	0 1 0 0 1	2	17
BACK	0	3	0	0	2	144	0 1 0 0 1	2	5
BESIDE	0	4	0	0	1	31	0 1 0 0 1	2	5
BODY	0	16	0	0	2	634	0 1 0 0 1	2	18
BROOM	0	5	0	0	1	34	0 1 0 0 1	2	6
BURN (SOMETHING)	0	1	0	0	2	8	0 1 0 0 1	2	3
CAMEL	0	2	0	0	1	9	0 1 0 0 1	2	3
CASSAVA	0	1	0	0	1	983	0 1 0 0 1	2	2
CHICKEN	0	4	0	0	1	1097	0 1 0 0 1	2	5
CHILD	0	1	0	0	1	1162	0 1 0 0 1	2	2
CRY	0	2	0	0	1	38	0 1 0 0 1	2	3
DOVE	0	1	0	0	2	1667	0 1 0 0 1	2	3
DRIP (FALL IN GLOBULES)	0	4	0	0	1	1720	0 1 0 0 1	2	5
DUST	0	1	0	0	1	1773	0 1 0 0 1	2	2
EAR	0	5	0	0	1	1815	0 1 0 0 1	2	6
