Concept	Atlantic	Dogon	Isolate	Mande	Songhai	BORROWING	PATTERN	FAMILIES	REFLEXES
FIND	0	16	0	0	1	2306	0 1 0 0 1	2	17
FIRE	0	5	0	0	1	2377	0 1 0 0 1	2	6
FIREWOOD	0	5	0	0	1	2399	0 1 0 0 1	2	6
FISH	0	7	0	0	1	2415	0 1 0 0 1	2	8
FOOD	0	1	0	0	1	2571	0 1 0 0 1	2	2
FOUR	0	2	0	0	1	2677	0 1 0 0 1	2	3
GET	0	2	0	0	1	2738	0 1 0 0 1	2	3
GO UP (ASCEND)	0	2	0	0	1	2877	0 1 0 0 1	2	3
GOAT	0	1	0	0	2	49	0 1 0 0 1	2	3
HEAR	0	1	0	0	1	3143	0 1 0 0 1	2	2
HONEY	0	2	0	0	1	53	0 1 0 0 1	2	3
HORSE	0	1	0	0	2	55	0 1 0 0 1	2	3
HUNDRED	0	1	0	0	1	3397	0 1 0 0 1	2	2
KNEE	0	6	0	0	1	3605	0 1 0 0 1	2	7
LAUGH	0	5	0	0	1	3745	0 1 0 0 1	2	6
LIFT	0	6	0	0	1	3899	0 1 0 0 1	2	7
LOOK	0	1	0	0	1	4019	0 1 0 0 1	2	2
LOOK FOR	0	2	0	0	1	63	0 1 0 0 1	2	3
LOUSE	0	1	0	0	1	4082	0 1 0 0 1	2	2
MAN	0	1	0	0	1	4196	0 1 0 0 1	2	2
NEAR	0	1	0	0	1	4616	0 1 0 0 1	2	2
NOBLE	0	1	0	0	1	75	0 1 0 0 1	2	2
PIG	0	6	0	0	1	82	0 1 0 0 1	2	7
PLASTIC	0	2	0	0	1	5188	0 1 0 0 1	2	3
PULL	0	1	0	0	1	5246	0 1 0 0 1	2	2
RIGHT	0	1	0	0	1	5392	0 1 0 0 1	2	2
ROUGH	0	8	0	0	2	5539	0 1 0 0 1	2	10
SAY	0	1	0	0	1	5632	0 1 0 0 1	2	2
SEW	0	2	0	0	1	5781	0 1 0 0 1	2	3
SLIP	0	1	0	0	1	6172	0 1 0 0 1	2	2
SMALL	0	1	0	0	1	6185	0 1 0 0 1	2	2
SPLEEN	0	1	0	0	1	6442	0 1 0 0 1	2	2
TONGUE	0	15	0	0	1	7106	0 1 0 0 1	2	16
TRAP (PITFALL)	0	1	0	0	1	96	0 1 0 0 1	2	2
TRAVERSE	0	1	0	0	1	7185	0 1 0 0 1	2	2
TROUGH	0	2	0	0	1	92	0 1 0 0 1	2	3
TWO	0	5	0	0	1	7256	0 1 0 0 1	2	6
UNTIE	0	2	0	0	1	7277	0 1 0 0 1	2	3
WEAVE	0	16	0	0	1	7408	0 1 0 0 1	2	17
WING	0	7	0	0	1	7530	0 1 0 0 1	2	8
ANIMAL	0	4	0	1	0	28	0 1 0 1 0	2	5
ANIMAL	0	1	0	1	0	40	0 1 0 1 0	2	2
BAD	0	4	0	2	0	179	0 1 0 1 0	2	6
BAD	0	4	0	5	0	166	0 1 0 1 0	2	9
BIG	0	2	0	1	0	3	0 1 0 1 0	2	3
BITE	0	8	0	4	0	469	0 1 0 1 0	2	12
BITTER	0	1	0	2	0	492	0 1 0 1 0	2	3
BLANKET	0	3	0	1	0	528	0 1 0 1 0	2	4
BLINK	0	1	0	1	0	547	0 1 0 1 0	2	2
BLINK	0	7	0	1	0	555	0 1 0 1 0	2	8
BOAT	0	4	0	1	0	620	0 1 0 1 0	2	5
BODY	0	3	0	9	0	636	0 1 0 1 0	2	12
BONE	0	13	0	4	0	673	0 1 0 1 0	2	17
BOW	0	2	0	1	0	707	0 1 0 1 0	2	3
BREAKFAST	0	1	0	1	0	716	0 1 0 1 0	2	2
BREATHE	0	2	0	2	0	33	0 1 0 1 0	2	4
BREATHE	0	1	0	5	0	762	0 1 0 1 0	2	6
BUILD	0	5	0	1	0	821	0 1 0 1 0	2	6
CHEST	0	1	0	2	0	36	0 1 0 1 0	2	3
CHEST	0	10	0	3	0	1063	0 1 0 1 0	2	13
CHILD	0	2	0	8	0	1139	0 1 0 1 0	2	10
CHILD	0	1	0	1	0	1145	0 1 0 1 0	2	2
CLOUD	0	1	0	1	0	13	0 1 0 1 0	2	2
COTTON	0	1	0	1	0	1301	0 1 0 1 0	2	2
COTTON	0	1	0	2	0	1289	0 1 0 1 0	2	3
CRY	0	4	0	7	0	1374	0 1 0 1 0	2	11
DAY (NOT NIGHT)	0	1	0	1	0	1392	0 1 0 1 0	2	2
DEW	0	4	0	2	0	1419	0 1 0 1 0	2	6
DIG	0	1	0	1	0	1484	0 1 0 1 0	2	2
DIG	0	2	0	1	0	1485	0 1 0 1 0	2	3
DIG	0	1	0	1	0	1482	0 1 0 1 0	2	2
DINNER (SUPPER)	0	1	0	2	0	17	0 1 0 1 0	2	3
DIVIDE	0	2	0	1	0	1540	0 1 0 1 0	2	3
DIVIDE	0	2	0	1	0	1545	0 1 0 1 0	2	3
DOG	0	3	0	2	0	1567	0 1 0 1 0	2	5
DOG	0	1	0	1	0	1568	0 1 0 1 0	2	2
DOOR	0	2	0	3	0	1603	0 1 0 1 0	2	5
DOOR	0	9	0	2	0	1599	0 1 0 1 0	2	11
DOVE	0	1	0	1	0	1662	0 1 0 1 0	2	2
DUST	0	3	0	1	0	1766	0 1 0 1 0	2	4
DUST	0	2	0	1	0	1764	0 1 0 1 0	2	3
DUST	0	2	0	2	0	1753	0 1 0 1 0	2	4
DUST	0	1	0	1	0	1761	0 1 0 1 0	2	2
EGG	0	8	0	3	0	1895	0 1 0 1 0	2	11
EMPTY	0	3	0	1	0	2006	0 1 0 1 0	2	4
EMPTY	0	2	0	1	0	26	0 1 0 1 0	2	3
ENTER	0	1	0	2	0	2023	0 1 0 1 0	2	3
ENTER	0	3	0	1	0	41	0 1 0 1 0	2	4
FALL	0	1	0	2	0	2096	0 1 0 1 0	2	3
FALL	0	3	0	1	0	2098	0 1 0 1 0	2	4
FAST	0	1	0	1	0	2141	0 1 0 1 0	2	2
FAT (ORGANIC SUBSTANCE)	0	3	0	1	0	2212	0 1 0 1 0	2	4
FAT (ORGANIC SUBSTANCE)	0	17	0	10	0	27	0 1 0 1 0	2	27
FISH	0	7	0	1	0	2404	0 1 0 1 0	2	8
FISH	0	2	0	1	0	2406	0 1 0 1 0	2	3
FOOD	0	1	0	1	0	2557	0 1 0 1 0	2	2
FORGET	0	6	0	1	0	2628	0 1 0 1 0	2	7
FORGIVE	0	2	0	1	0	2647	0 1 0 1 0	2	3
FOUR	0	1	0	12	0	2653	0 1 0 1 0	2	13
FOUR	0	6	0	5	0	2657	0 1 0 1 0	2	11
FRIEND	0	1	0	1	0	2678	0 1 0 1 0	2	2
FULL	0	6	0	9	0	2712	0 1 0 1 0	2	15
GIVE	0	9	0	8	0	2780	0 1 0 1 0	2	17
GOOD	0	5	0	1	0	50	0 1 0 1 0	2	6
GRASS	0	1	0	1	0	2991	0 1 0 1 0	2	2
GRASS	0	6	0	1	0	2982	0 1 0 1 0	2	7
HAIR	0	16	0	1	0	3062	0 1 0 1 0	2	17
HEAD	0	18	0	1	0	3116	0 1 0 1 0	2	19
HEAVY	0	8	0	1	0	3154	0 1 0 1 0	2	9
HIDE (CONCEAL)	0	1	0	2	0	3180	0 1 0 1 0	2	3
HIDE (CONCEAL)	0	3	0	5	0	3182	0 1 0 1 0	2	8
HIDE (CONCEAL)	0	3	0	1	0	3181	0 1 0 1 0	2	4
HIDE (CONCEAL)	0	3	0	1	0	3183	0 1 0 1 0	2	4
HONEY	0	6	0	1	0	3250	0 1 0 1 0	2	7
HONEY	0	1	0	1	0	3261	0 1 0 1 0	2	2
HORSE	0	19	0	12	0	3306	0 1 0 1 0	2	31
HOT	0	7	0	1	0	3359	0 1 0 1 0	2	8
HUNT	0	2	0	3	0	56	0 1 0 1 0	2	5
HUSBAND	0	3	0	2	0	3424	0 1 0 1 0	2	5
IRON	0	2	0	10	0	3468	0 1 0 1 0	2	12
JOINT	0	1	0	1	0	3520	0 1 0 1 0	2	2
KIDNEY	0	8	0	1	0	58	0 1 0 1 0	2	9
KIDNEY	0	1	0	1	0	3567	0 1 0 1 0	2	2
KILL	0	6	0	3	0	3586	0 1 0 1 0	2	9
KNEEL	0	9	0	1	0	3654	0 1 0 1 0	2	10
KNIFE	0	2	0	1	0	3679	0 1 0 1 0	2	3
KNIFE	0	2	0	7	0	3676	0 1 0 1 0	2	9
LADDER	0	9	0	1	0	3705	0 1 0 1 0	2	10
LEAF	0	1	0	1	0	3785	0 1 0 1 0	2	2
LEAF	0	2	0	8	0	3771	0 1 0 1 0	2	10
LEAF	0	1	0	2	0	3772	0 1 0 1 0	2	3
LICK	0	3	0	1	0	3851	0 1 0 1 0	2	4
LIE DOWN	0	1	0	8	0	3871	0 1 0 1 0	2	9
LIMP	0	1	0	1	0	3941	0 1 0 1 0	2	2
LIMP	0	12	0	1	0	3944	0 1 0 1 0	2	13
LION	0	8	0	1	0	3960	0 1 0 1 0	2	9
LOOK	0	1	0	1	0	4024	0 1 0 1 0	2	2
LOOK FOR	0	5	0	1	0	4031	0 1 0 1 0	2	6
LOOK FOR	0	2	0	1	0	4029	0 1 0 1 0	2	3
MAIZE	0	4	0	8	0	68	0 1 0 1 0	2	12
MAIZE	0	3	0	3	0	67	0 1 0 1 0	2	6
MAN	0	2	0	2	0	4179	0 1 0 1 0	2	4
MARROW	0	2	0	2	0	4216	0 1 0 1 0	2	4
MEAL	0	2	0	1	0	4286	0 1 0 1 0	2	3
MEDICINE	0	1	0	1	0	4327	0 1 0 1 0	2	2
MILLET	0	13	0	1	0	4394	0 1 0 1 0	2	14
MONEY	0	1	0	1	0	4433	0 1 0 1 0	2	2
MOON	0	1	0	8	0	4456	0 1 0 1 0	2	9
NAME	0	1	0	3	0	4578	0 1 0 1 0	2	4
NOW	0	2	0	1	0	4792	0 1 0 1 0	2	3
OLD WOMAN	0	1	0	1	0	4862	0 1 0 1 0	2	2
ONION	0	10	0	1	0	78	0 1 0 1 0	2	11
OPEN	0	1	0	1	0	4916	0 1 0 1 0	2	2
OPEN	0	1	0	5	0	79	0 1 0 1 0	2	6
ORPHAN	0	1	0	1	0	80	0 1 0 1 0	2	2
PESTLE	0	1	0	9	0	5057	0 1 0 1 0	2	10
PLACE (POSITION)	0	4	0	1	0	5168	0 1 0 1 0	2	5
PRICE	0	2	0	2	0	5206	0 1 0 1 0	2	4
RIVER	0	1	0	3	0	5429	0 1 0 1 0	2	4
ROOT	0	3	0	3	0	5466	0 1 0 1 0	2	6
ROTTEN	0	4	0	6	0	5506	0 1 0 1 0	2	10
ROTTEN	0	1	0	1	0	5516	0 1 0 1 0	2	2
SAND	0	1	0	1	0	5611	0 1 0 1 0	2	2
SAND	0	1	0	2	0	5626	0 1 0 1 0	2	3
SAY	0	1	0	7	0	5638	0 1 0 1 0	2	8
SAY	0	15	0	2	0	5634	0 1 0 1 0	2	17
SCALE	0	1	0	1	0	5668	0 1 0 1 0	2	2
SEE	0	1	0	1	0	5694	0 1 0 1 0	2	2
SELL	0	13	0	1	0	5711	0 1 0 1 0	2	14
SHARP	0	3	0	7	0	5803	0 1 0 1 0	2	10
SHEPHERD	0	1	0	1	0	5844	0 1 0 1 0	2	2
SHORT	0	7	0	2	0	5896	0 1 0 1 0	2	9
SICKLE OR SCYTHE	0	1	0	1	0	5939	0 1 0 1 0	2	2
SIMILAR	0	2	0	2	0	5959	0 1 0 1 0	2	4
SIT	0	5	0	1	0	6001	0 1 0 1 0	2	6
SKY	0	2	0	1	0	6081	0 1 0 1 0	2	3
SLAVE	0	19	0	1	0	6121	0 1 0 1 0	2	20
SMELL	0	6	0	1	0	6203	0 1 0 1 0	2	7
SMOOTH	0	2	0	5	0	6221	0 1 0 1 0	2	7
SOAP	0	1	0	1	0	6302	0 1 0 1 0	2	2
SPEAR	0	6	0	2	0	6336	0 1 0 1 0	2	8
SPEAR	0	8	0	1	0	6331	0 1 0 1 0	2	9
SPIN	0	2	0	1	0	6365	0 1 0 1 0	2	3
SPRING OR WELL	0	1	0	2	0	6464	0 1 0 1 0	2	3
STEAL	0	3	0	1	0	6505	0 1 0 1 0	2	4
STRIKE OR BEAT	0	1	0	1	0	6554	0 1 0 1 0	2	2
STRIKE OR BEAT	0	6	0	1	0	6555	0 1 0 1 0	2	7
SUCK	0	4	0	2	0	6575	0 1 0 1 0	2	6
SUN	0	3	0	1	0	6618	0 1 0 1 0	2	4
SWEEP	0	14	0	1	0	6657	0 1 0 1 0	2	15
TAIL	0	1	0	9	0	6739	0 1 0 1 0	2	10
THICK	0	3	0	1	0	6835	0 1 0 1 0	2	4
THING	0	3	0	1	0	6872	0 1 0 1 0	2	4
THINK	0	1	0	1	0	6919	0 1 0 1 0	2	2
THINK	0	1	0	1	0	6914	0 1 0 1 0	2	2
THROAT	0	1	0	1	0	6994	0 1 0 1 0	2	2
TOE	0	1	0	1	0	7040	0 1 0 1 0	2	2
TONGS	0	3	0	2	0	7084	0 1 0 1 0	2	5
TOOTH	0	13	0	1	0	7124	0 1 0 1 0	2	14
TRAP (PITFALL)	0	7	0	1	0	7162	0 1 0 1 0	2	8
TRAVERSE	0	1	0	1	0	7186	0 1 0 1 0	2	2
TRAVERSE	0	5	0	1	0	7181	0 1 0 1 0	2	6
TREE	0	2	0	6	0	7194	0 1 0 1 0	2	8
URINE	0	7	0	1	0	7297	0 1 0 1 0	2	8
VAGINA	0	1	0	1	0	7317	0 1 0 1 0	2	2
VILLAGE	0	4	0	11	0	7337	0 1 0 1 0	2	15
WATER	0	10	0	10	0	7390	0 1 0 1 0	2	20
WET	0	5	0	1	0	7440	0 1 0 1 0	2	6
WOMAN	0	12	0	7	0	7566	0 1 0 1 0	2	19
WOOD	0	16	0	1	0	7587	0 1 0 1 0	2	17
WORK (LABOUR)	0	12	0	2	0	7610	0 1 0 1 0	2	14
WRAPPER	0	5	0	3	0	7640	0 1 0 1 0	2	8
ARRIVE	0	1	1	0	0	90	0 1 1 0 0	2	2
ASH	0	9	1	0	0	116	0 1 1 0 0	2	10
BACK	0	1	1	0	0	141	0 1 1 0 0	2	2
BEGIN	0	3	1	0	0	1	0 1 1 0 0	2	4
BESIDE	0	2	1	0	0	376	0 1 1 0 0	2	3
BLOOD	0	7	1	0	0	4	0 1 1 0 0	2	8
CARRY ON HEAD	0	19	1	0	0	10	0 1 1 0 0	2	20
CARVE	0	2	1	0	0	948	0 1 1 0 0	2	3
CAT	0	5	1	0	0	988	0 1 1 0 0	2	6
CHEEK	0	4	1	0	0	11	0 1 1 0 0	2	5
CHILD	0	3	1	0	0	12	0 1 1 0 0	2	4
COLD	0	1	1	0	0	1233	0 1 1 0 0	2	2
COTTON	0	2	1	0	0	15	0 1 1 0 0	2	3
COUNT	0	5	1	0	0	1308	0 1 1 0 0	2	6
DIE	0	4	1	0	0	16	0 1 1 0 0	2	5
DIG	0	15	1	0	0	1479	0 1 1 0 0	2	16
DIVIDE	0	2	1	0	0	1534	0 1 1 0 0	2	3
DONKEY	0	3	1	0	0	1582	0 1 1 0 0	2	4
DOORPOST	0	1	1	0	0	1635	0 1 1 0 0	2	2
DUST	0	4	1	0	0	1749	0 1 1 0 0	2	5
EARRING	0	2	1	0	0	20	0 1 1 0 0	2	3
ELBOW	0	1	1	0	0	1949	0 1 1 0 0	2	2
FACE	0	14	1	0	0	2074	0 1 1 0 0	2	15
FAT (ORGANIC SUBSTANCE)	0	1	1	0	0	2194	0 1 1 0 0	2	2
FEAR (BE AFRAID)	0	1	1	0	0	2233	0 1 1 0 0	2	2
FIVE	0	14	1	0	0	2432	0 1 1 0 0	2	15
FOOD	0	1	1	0	0	45	0 1 1 0 0	2	2
FOUR	0	9	1	0	0	2654	0 1 1 0 0	2	10
GRASS	0	2	1	0	0	2983	0 1 1 0 0	2	3
HAND	0	6	1	0	0	3079	0 1 1 0 0	2	7
HEAR	0	5	1	0	0	3144	0 1 1 0 0	2	6
HONEY	0	5	1	0	0	3251	0 1 1 0 0	2	6
HORN (ANATOMY)	0	5	1	0	0	3279	0 1 1 0 0	2	6
JAW	0	3	1	0	0	3494	0 1 1 0 0	2	4
JOINT	0	13	1	0	0	3516	0 1 1 0 0	2	14
LAUGH	0	17	1	0	0	3727	0 1 1 0 0	2	18
LEAVE	0	11	1	0	0	60	0 1 1 0 0	2	12
LEFT	0	7	1	0	0	3828	0 1 1 0 0	2	8
LIMP	0	1	1	0	0	3942	0 1 1 0 0	2	2
MEAT	0	23	1	0	0	4307	0 1 1 0 0	2	24
MEET	0	2	1	0	0	4342	0 1 1 0 0	2	3
MOUTH	0	1	1	0	0	4537	0 1 1 0 0	2	2
NAME	0	5	1	0	0	4573	0 1 1 0 0	2	6
NEAR	0	13	1	0	0	4623	0 1 1 0 0	2	14
NECK	0	1	1	0	0	4629	0 1 1 0 0	2	2
NINE	0	4	1	0	0	4709	0 1 1 0 0	2	5
OLD	0	1	1	0	0	4826	0 1 1 0 0	2	2
ONE	0	18	1	0	0	4878	0 1 1 0 0	2	19
ONION	0	1	1	0	0	4895	0 1 1 0 0	2	2
OTHER	0	5	1	0	0	4971	0 1 1 0 0	2	6
PESTLE	0	3	1	0	0	5053	0 1 1 0 0	2	4
PICK	0	10	1	0	0	5090	0 1 1 0 0	2	11
RED	0	20	1	0	0	5348	0 1 1 0 0	2	21
RIVER	0	9	1	0	0	5433	0 1 1 0 0	2	10
ROOT	0	1	1	0	0	83	0 1 1 0 0	2	2
ROTTEN	0	3	1	0	0	84	0 1 1 0 0	2	4
RUN	0	2	1	0	0	5556	0 1 1 0 0	2	3
SALT	0	1	1	0	0	85	0 1 1 0 0	2	2
SCALE	0	5	1	0	0	5665	0 1 1 0 0	2	6
SHARP	0	4	1	0	0	5797	0 1 1 0 0	2	5
SIMILAR	0	2	1	0	0	5961	0 1 1 0 0	2	3
SING	0	15	1	0	0	5980	0 1 1 0 0	2	16
SIT	0	1	1	0	0	6003	0 1 1 0 0	2	2
SONG	0	23	1	0	0	6324	0 1 1 0 0	2	24
SWALLOW	0	17	1	0	0	6643	0 1 1 0 0	2	18
SWEEP	0	1	1	0	0	6655	0 1 1 0 0	2	2
SWEET	0	2	1	0	0	103	0 1 1 0 0	2	3
TAIL	0	20	1	0	0	6733	0 1 1 0 0	2	21
TESTICLES	0	15	1	0	0	6810	0 1 1 0 0	2	16
THING	0	8	1	0	0	6873	0 1 1 0 0	2	9
THORN	0	14	1	0	0	6932	0 1 1 0 0	2	15
THROW	0	10	1	0	0	99	0 1 1 0 0	2	11
VAGINA	0	4	1	0	0	7309	0 1 1 0 0	2	5
WEEK	0	11	1	0	0	7421	0 1 1 0 0	2	12
WORK (LABOUR)	0	5	1	0	0	7611	0 1 1 0 0	2	6
BITTER	1	0	0	0	2	32	1 0 0 0 1	2	3
COTTON	1	0	0	0	1	1298	1 0 0 0 1	2	2
DINNER (SUPPER)	1	0	0	0	1	1500	1 0 0 0 1	2	2
PUSH	1	0	0	0	2	5288	1 0 0 0 1	2	3
BOW	1	0	0	1	0	698	1 0 0 1 0	2	2
CAT	1	0	0	1	0	995	1 0 0 1 0	2	2
DUST	1	0	0	1	0	1765	1 0 0 1 0	2	2
ELBOW	1	0	0	3	0	21	1 0 0 1 0	2	4
FIRE	1	0	0	1	0	2378	1 0 0 1 0	2	2
HAIR	1	0	0	1	0	3065	1 0 0 1 0	2	2
HORN (ANATOMY)	1	0	0	8	0	54	1 0 0 1 0	2	9
KNEE	1	0	0	1	0	3606	1 0 0 1 0	2	2
KNIFE	1	0	0	1	0	3678	1 0 0 1 0	2	2
MEAT	1	0	0	1	0	4313	1 0 0 1 0	2	2
MONEY	1	0	0	1	0	4422	1 0 0 1 0	2	2
NARROW	1	0	0	1	0	73	1 0 0 1 0	2	2
BLUNT	1	0	1	0	0	5	1 0 1 0 0	2	2
INJURE	1	0	1	0	0	3453	1 0 1 0 0	2	2
NURSE	1	0	1	0	0	77	1 0 1 0 0	2	2
BEAUTIFUL	1	1	0	0	0	285	1 1 0 0 0	2	2
BREAST	1	3	0	0	0	734	1 1 0 0 0	2	4
BURN (SOMETHING)	1	2	0	0	0	35	1 1 0 0 0	2	3
CAMEL	1	1	0	0	0	926	1 1 0 0 0	2	2
COME	1	6	0	0	0	37	1 1 0 0 0	2	7
DIE	1	1	0	0	0	39	1 1 0 0 0	2	2
DOVE	1	1	0	0	0	1660	1 1 0 0 0	2	2
ELEPHANT	1	5	0	0	0	22	1 1 0 0 0	2	6
EYE	1	17	0	0	0	42	1 1 0 0 0	2	18
FOOD	1	2	0	0	0	2564	1 1 0 0 0	2	3
FOREHEAD	1	5	0	0	0	2602	1 1 0 0 0	2	6
GO	1	9	0	0	0	48	1 1 0 0 0	2	10
GRASS	1	2	0	0	0	2986	1 1 0 0 0	2	3
HEAR	1	3	0	0	0	3150	1 1 0 0 0	2	4
HELP	1	16	0	0	0	3167	1 1 0 0 0	2	17
KEY	1	1	0	0	0	3539	1 1 0 0 0	2	2
LOOK FOR	1	1	0	0	0	64	1 1 0 0 0	2	2
MARKET	1	1	0	0	0	4207	1 1 0 0 0	2	2
MARROW	1	8	0	0	0	4238	1 1 0 0 0	2	9
MEET	1	2	0	0	0	70	1 1 0 0 0	2	3
MONEY	1	7	0	0	0	4424	1 1 0 0 0	2	8
MUD	1	2	0	0	0	4563	1 1 0 0 0	2	3
NAME	1	2	0	0	0	4583	1 1 0 0 0	2	3
NOBLE	1	5	0	0	0	4747	1 1 0 0 0	2	6
NOSE	1	15	0	0	0	76	1 1 0 0 0	2	16
RAIN (PRECIPITATION)	1	2	0	0	0	5312	1 1 0 0 0	2	3
ROOF	1	9	0	0	0	5448	1 1 0 0 0	2	10
SELL	1	3	0	0	0	86	1 1 0 0 0	2	4
SPIRIT	1	13	0	0	0	6388	1 1 0 0 0	2	14
TESTICLES	1	3	0	0	0	6814	1 1 0 0 0	2	4
THROW	1	3	0	0	0	100	1 1 0 0 0	2	4
TRAP (PITFALL)	1	2	0	0	0	7165	1 1 0 0 0	2	3
VAGINA	1	3	0	0	0	7314	1 1 0 0 0	2	4
VILLAGE	1	1	0	0	0	7346	1 1 0 0 0	2	2
WALL (OF HOUSE)	1	1	0	0	0	7371	1 1 0 0 0	2	2
YELLOW	1	3	0	0	0	87	1 1 0 0 0	2	4
COUNTRY	0	0	1	7	1	1326	0 0 1 1 1	3	9
DRY	0	0	1	1	1	1727	0 0 1 1 1	3	3
PENIS	0	0	1	1	1	5005	0 0 1 1 1	3	3
BREATHE	0	1	0	1	1	788	0 1 0 1 1	3	3
BUILD	0	1	0	1	1	819	0 1 0 1 1	3	3
DONKEY	0	2	0	2	1	18	0 1 0 1 1	3	5
ELEPHANT	0	1	0	4	1	24	0 1 0 1 1	3	6
EMPTY	0	3	0	1	1	2005	0 1 0 1 1	3	5
FOOT OR LEG	0	1	0	1	1	14	0 1 0 1 1	3	3
FOREHEAD	0	8	0	2	1	2607	0 1 0 1 1	3	11
KILL	0	3	0	8	1	3582	0 1 0 1 1	3	12
LOOK	0	6	0	1	1	4005	0 1 0 1 1	3	8
LUNG	0	2	0	1	2	65	0 1 0 1 1	3	5
MUD	0	4	0	1	1	72	0 1 0 1 1	3	6
NOW	0	2	0	1	1	4796	0 1 0 1 1	3	4
ORPHAN	0	1	0	1	1	4958	0 1 0 1 1	3	3
RUN	0	1	0	1	1	5572	0 1 0 1 1	3	3
SAND	0	6	0	5	1	5607	0 1 0 1 1	3	12
