Concept	Eastern_Songhai	Isolate	North-Central_Atlantic	North-Eastern_Dogon	North-Western_Dogon	Soninke-Bozo	South-Eastern_Dogon	South-Western_Dogon	Western_Mande	BORROWING	PATTERN	SUBGROUP	REFLEXES
SIMILAR	0	0	0	0	0	0	0	3	1	5969	0 0 0 0 0 0 0 1 1	2	4
THINK	0	0	0	0	0	0	0	1	1	6919	0 0 0 0 0 0 0 1 1	2	2
THINK	0	0	0	0	0	0	0	1	1	6914	0 0 0 0 0 0 0 1 1	2	2
SHEPHERD	0	0	0	0	0	0	1	0	1	5844	0 0 0 0 0 0 1 0 1	2	2
ANIMAL	0	0	0	0	0	1	0	1	0	40	0 0 0 0 0 1 0 1 0	2	2
BREATHE	0	0	0	0	0	5	0	1	0	762	0 0 0 0 0 1 0 1 0	2	6
KNIFE	0	0	0	0	0	7	0	2	0	3676	0 0 0 0 0 1 0 1 0	2	9
MAIZE	0	0	0	0	0	3	0	3	0	67	0 0 0 0 0 1 0 1 0	2	6
MAN	0	0	0	0	0	2	0	2	0	4179	0 0 0 0 0 1 0 1 0	2	4
MONEY	0	0	0	0	0	1	0	1	0	4433	0 0 0 0 0 1 0 1 0	2	2
SALT	0	0	0	0	0	1	0	1	0	95	0 0 0 0 0 1 0 1 0	2	2
SAND	0	0	0	0	0	1	0	1	0	5611	0 0 0 0 0 1 0 1 0	2	2
SAND	0	0	0	0	0	2	0	1	0	5626	0 0 0 0 0 1 0 1 0	2	3
SEE	0	0	0	0	0	1	0	1	0	5694	0 0 0 0 0 1 0 1 0	2	2
WORK (LABOUR)	0	0	0	0	0	1	0	1	0	7619	0 0 0 0 0 1 0 1 0	2	2
DIG	0	0	0	0	0	1	1	0	0	1482	0 0 0 0 0 1 1 0 0	2	2
DOVE	0	0	0	0	0	1	1	0	0	1662	0 0 0 0 0 1 1 0 0	2	2
DUST	0	0	0	0	0	2	2	0	0	1764	0 0 0 0 0 1 1 0 0	2	4
SAY	0	0	0	0	0	3	1	0	0	5638	0 0 0 0 0 1 1 0 0	2	4
SOAP	0	0	0	0	0	1	1	0	0	6302	0 0 0 0 0 1 1 0 0	2	2
SPEAR	0	0	0	0	0	2	1	0	0	6334	0 0 0 0 0 1 1 0 0	2	3
FAST	0	0	0	0	1	0	0	0	1	2141	0 0 0 0 1 0 0 0 1	2	2
CLOUD	0	0	0	0	1	1	0	0	0	13	0 0 0 0 1 1 0 0 0	2	2
LEAF	0	0	0	0	1	2	0	0	0	3772	0 0 0 0 1 1 0 0 0	2	3
OLD WOMAN	0	0	0	0	1	1	0	0	0	4862	0 0 0 0 1 1 0 0 0	2	2
SCALE	0	0	0	0	1	1	0	0	0	5668	0 0 0 0 1 1 0 0 0	2	2
SUN	0	0	0	0	3	1	0	0	0	6618	0 0 0 0 1 1 0 0 0	2	4
FRIEND	0	0	0	1	0	0	0	0	1	2678	0 0 0 1 0 0 0 0 1	2	2
SICKLE OR SCYTHE	0	0	0	1	0	0	0	0	1	5939	0 0 0 1 0 0 0 0 1	2	2
TOE	0	0	0	1	0	0	0	0	1	7040	0 0 0 1 0 0 0 0 1	2	2
BIG	0	0	0	2	0	1	0	0	0	3	0 0 0 1 0 1 0 0 0	2	3
DIG	0	0	0	1	0	1	0	0	0	1484	0 0 0 1 0 1 0 0 0	2	2
EMPTY	0	0	0	2	0	1	0	0	0	26	0 0 0 1 0 1 0 0 0	2	3
FISH	0	0	0	2	0	1	0	0	0	2406	0 0 0 1 0 1 0 0 0	2	3
LEAF	0	0	0	2	0	8	0	0	0	3771	0 0 0 1 0 1 0 0 0	2	10
PESTLE	0	0	0	1	0	9	0	0	0	5057	0 0 0 1 0 1 0 0 0	2	10
STEAL	0	0	0	3	0	1	0	0	0	6505	0 0 0 1 0 1 0 0 0	2	4
TAIL	0	0	0	1	0	9	0	0	0	6739	0 0 0 1 0 1 0 0 0	2	10
THROAT	0	0	0	3	0	1	0	0	0	6994	0 0 0 1 0 1 0 0 0	2	4
VAGINA	0	0	0	1	0	1	0	0	0	7317	0 0 0 1 0 1 0 0 0	2	2
BOW	0	0	1	0	0	0	0	0	1	698	0 0 1 0 0 0 0 0 1	2	2
MONEY	0	0	1	0	0	0	0	0	1	4422	0 0 1 0 0 0 0 0 1	2	2
BURN (SOMETHING)	0	0	1	0	0	0	0	2	0	35	0 0 1 0 0 0 0 1 0	2	3
CAMEL	0	0	1	0	0	0	0	1	0	926	0 0 1 0 0 0 0 1 0	2	2
DIE	0	0	1	0	0	0	0	1	0	39	0 0 1 0 0 0 0 1 0	2	2
DOVE	0	0	1	0	0	0	0	1	0	1660	0 0 1 0 0 0 0 1 0	2	2
ELEPHANT	0	0	1	0	0	0	0	5	0	22	0 0 1 0 0 0 0 1 0	2	6
HEAR	0	0	1	0	0	0	0	3	0	3150	0 0 1 0 0 0 0 1 0	2	4
LOOK FOR	0	0	1	0	0	0	0	1	0	64	0 0 1 0 0 0 0 1 0	2	2
MEET	0	0	1	0	0	0	0	2	0	70	0 0 1 0 0 0 0 1 0	2	3
MUD	0	0	1	0	0	0	0	2	0	4563	0 0 1 0 0 0 0 1 0	2	3
RAIN (PRECIPITATION)	0	0	1	0	0	0	0	2	0	5312	0 0 1 0 0 0 0 1 0	2	3
SELL	0	0	1	0	0	0	0	3	0	86	0 0 1 0 0 0 0 1 0	2	4
TESTICLES	0	0	1	0	0	0	0	3	0	6814	0 0 1 0 0 0 0 1 0	2	4
VILLAGE	0	0	1	0	0	0	0	1	0	7346	0 0 1 0 0 0 0 1 0	2	2
WALL (OF HOUSE)	0	0	1	0	0	0	0	1	0	7371	0 0 1 0 0 0 0 1 0	2	2
CAT	0	0	1	0	0	1	0	0	0	995	0 0 1 0 0 1 0 0 0	2	2
DUST	0	0	1	0	0	1	0	0	0	1765	0 0 1 0 0 1 0 0 0	2	2
ELBOW	0	0	1	0	0	3	0	0	0	21	0 0 1 0 0 1 0 0 0	2	4
FIRE	0	0	1	0	0	1	0	0	0	2378	0 0 1 0 0 1 0 0 0	2	2
HORN (ANATOMY)	0	0	1	0	0	8	0	0	0	54	0 0 1 0 0 1 0 0 0	2	9
KNIFE	0	0	1	0	0	1	0	0	0	3678	0 0 1 0 0 1 0 0 0	2	2
MAT	0	0	1	0	0	1	0	0	0	14	0 0 1 0 0 1 0 0 0	2	2
NARROW	0	0	1	0	0	1	0	0	0	73	0 0 1 0 0 1 0 0 0	2	2
SWEEP	0	0	1	0	0	1	0	0	0	101	0 0 1 0 0 1 0 0 0	2	2
BEAUTIFUL	0	0	1	0	1	0	0	0	0	285	0 0 1 0 1 0 0 0 0	2	2
HUSBAND	0	0	1	2	0	0	0	0	0	3420	0 0 1 1 0 0 0 0 0	2	3
MAIZE	0	0	1	4	0	0	0	0	0	66	0 0 1 1 0 0 0 0 0	2	5
MARKET	0	0	1	1	0	0	0	0	0	4207	0 0 1 1 0 0 0 0 0	2	2
BLACKSMITH	0	1	0	0	0	0	0	0	1	514	0 1 0 0 0 0 0 0 1	2	2
BREAST	0	1	0	0	0	0	0	0	1	730	0 1 0 0 0 0 0 0 1	2	2
CHIEFTAIN	0	1	0	0	0	0	0	0	2	1120	0 1 0 0 0 0 0 0 1	2	3
FORGET	0	1	0	0	0	0	0	0	1	46	0 1 0 0 0 0 0 0 1	2	2
IRON	0	1	0	0	0	0	0	0	1	57	0 1 0 0 0 0 0 0 1	2	2
KNEE	0	1	0	0	0	0	0	0	1	59	0 1 0 0 0 0 0 0 1	2	2
LUNG	0	1	0	0	0	0	0	0	1	4108	0 1 0 0 0 0 0 0 1	2	2
MEDICINE	0	1	0	0	0	0	0	0	1	4323	0 1 0 0 0 0 0 0 1	2	2
COLD	0	1	0	0	0	0	0	1	0	1233	0 1 0 0 0 0 0 1 0	2	2
DONKEY	0	1	0	0	0	0	0	3	0	1582	0 1 0 0 0 0 0 1 0	2	4
GRASS	0	1	0	0	0	0	0	2	0	2986	0 1 0 0 0 0 0 1 0	2	3
SWEEP	0	1	0	0	0	0	0	2	0	6655	0 1 0 0 0 0 0 1 0	2	3
SWEET	0	1	0	0	0	0	0	2	0	103	0 1 0 0 0 0 0 1 0	2	3
MOON	0	1	0	0	0	0	1	0	0	4452	0 1 0 0 0 0 1 0 0	2	2
SELL	0	1	0	0	0	0	1	0	0	5709	0 1 0 0 0 0 1 0 0	2	2
SIT	0	1	0	0	0	0	1	0	0	6003	0 1 0 0 0 0 1 0 0	2	2
BIG	0	1	0	0	0	1	0	0	0	400	0 1 0 0 0 1 0 0 0	2	2
