Concept	Eastern_Songhai	Isolate	North-Central_Atlantic	North-Eastern_Dogon	North-Western_Dogon	Soninke-Bozo	South-Eastern_Dogon	South-Western_Dogon	Western_Mande	BORROWING	PATTERN	SUBGROUP	REFLEXES
SMOKE	0	1	0	2	2	0	0	1	0	4	0 1 0 1 1 0 0 1 0	4	6
THING	0	1	0	4	4	0	0	1	0	6873	0 1 0 1 1 0 0 1 0	4	10
THROW	0	1	0	2	3	0	0	1	0	99	0 1 0 1 1 0 0 1 0	4	7
VAGINA	0	1	0	2	1	0	0	1	0	7309	0 1 0 1 1 0 0 1 0	4	5
HONEY	0	1	0	2	1	0	2	0	0	3251	0 1 0 1 1 0 1 0 0	4	6
HORN (ANATOMY)	0	1	0	2	2	0	1	0	0	3279	0 1 0 1 1 0 1 0 0	4	6
TESTICLES	0	1	0	6	4	0	5	0	0	6810	0 1 0 1 1 0 1 0 0	4	16
WOMAN	0	1	0	2	1	1	0	0	0	7585	0 1 0 1 1 1 0 0 0	4	5
CAVE	0	1	1	0	0	1	0	0	1	1021	0 1 1 0 0 1 0 0 1	4	4
NAME	0	1	1	0	2	0	0	5	0	4573	0 1 1 0 1 0 0 1 0	4	9
HOST	0	1	1	1	0	0	0	0	1	3337	0 1 1 1 0 0 0 0 1	4	4
SWIM	0	1	1	1	0	0	0	2	0	6713	0 1 1 1 0 0 0 1 0	4	5
DONKEY	1	0	0	0	2	1	0	0	1	18	1 0 0 0 1 1 0 0 1	4	5
BROOM	1	0	0	3	1	0	0	1	0	34	1 0 0 1 1 0 0 1 0	4	6
KNEE	1	0	0	1	1	0	0	3	0	3605	1 0 0 1 1 0 0 1 0	4	6
PIG	1	0	0	1	1	0	0	5	0	82	1 0 0 1 1 0 0 1 0	4	8
LIFT	1	0	0	1	1	0	1	0	0	3899	1 0 0 1 1 0 1 0 0	4	4
EMPTY	1	0	0	2	1	1	0	0	0	2005	1 0 0 1 1 1 0 0 0	4	5
GRASS	2	0	0	1	2	1	0	0	0	102	1 0 0 1 1 1 0 0 0	4	6
MAT	2	1	0	0	0	2	0	0	1	4265	1 1 0 0 0 1 0 0 1	4	6
CLOUD	2	1	0	0	0	1	0	1	0	1218	1 1 0 0 0 1 0 1 0	4	5
THIGH	1	1	0	1	0	0	0	0	1	6848	1 1 0 1 0 0 0 0 1	4	4
CHEST	1	1	0	1	0	6	0	0	0	1058	1 1 0 1 0 1 0 0 0	4	9
SPIT	1	1	1	0	0	7	0	0	0	6411	1 1 1 0 0 1 0 0 0	4	10
SHORT	0	0	0	0	4	1	2	1	1	5896	0 0 0 0 1 1 1 1 1	5	9
CRY	0	0	0	2	0	6	1	1	1	1374	0 0 0 1 0 1 1 1 1	5	11
BLINK	0	0	0	3	1	0	2	2	2	547	0 0 0 1 1 0 1 1 1	5	10
GRASS	0	0	0	2	1	0	1	2	1	2982	0 0 0 1 1 0 1 1 1	5	7
HEAD	0	0	0	5	3	0	4	6	1	3116	0 0 0 1 1 0 1 1 1	5	19
KIDNEY	0	0	0	5	1	0	1	1	1	58	0 0 0 1 1 0 1 1 1	5	9
LION	0	0	0	1	2	0	3	2	1	3960	0 0 0 1 1 0 1 1 1	5	9
SIT	0	0	0	1	1	0	1	2	1	6001	0 0 0 1 1 0 1 1 1	5	6
GIVE	0	0	0	1	4	7	0	3	1	2780	0 0 0 1 1 1 0 1 1	5	16
BITE	0	0	0	2	4	3	2	0	1	469	0 0 0 1 1 1 1 0 1	5	12
BAD	0	0	0	1	1	2	1	1	0	179	0 0 0 1 1 1 1 1 0	5	6
CHEST	0	0	0	3	1	3	3	3	0	1063	0 0 0 1 1 1 1 1 0	5	13
HAIR	0	0	0	5	3	1	3	5	0	3062	0 0 0 1 1 1 1 1 0	5	17
KNEEL	0	0	0	3	1	1	4	1	0	3654	0 0 0 1 1 1 1 1 0	5	10
SAY	0	0	0	5	4	2	1	5	0	5634	0 0 0 1 1 1 1 1 0	5	17
SELL	0	0	0	6	4	1	2	1	0	5711	0 0 0 1 1 1 1 1 0	5	14
SLAVE	0	0	0	7	5	1	4	3	0	6121	0 0 0 1 1 1 1 1 0	5	20
SWEEP	0	0	0	6	3	1	4	1	0	6657	0 0 0 1 1 1 1 1 0	5	15
TOOTH	0	0	0	1	5	1	2	5	0	7124	0 0 0 1 1 1 1 1 0	5	14
WOMAN	0	0	0	3	4	7	1	4	0	7566	0 0 0 1 1 1 1 1 0	5	19
WOOD	0	0	0	5	4	1	3	4	0	7587	0 0 0 1 1 1 1 1 0	5	17
EYE	0	0	1	3	4	0	5	5	0	42	0 0 1 1 1 0 1 1 0	5	18
HELP	0	0	1	6	4	0	2	4	0	3167	0 0 1 1 1 0 1 1 0	5	17
MARROW	0	0	1	5	2	0	2	3	0	4238	0 0 1 1 1 0 1 1 0	5	13
NOSE	0	0	1	3	3	0	4	5	0	76	0 0 1 1 1 0 1 1 0	5	16
ROOF	0	0	1	5	2	0	1	1	0	5448	0 0 1 1 1 0 1 1 0	5	10
SHEEP	0	0	1	4	3	0	6	1	0	5833	0 0 1 1 1 0 1 1 0	5	15
SPIRIT	0	0	1	5	4	0	2	2	0	6388	0 0 1 1 1 0 1 1 0	5	14
BREATHE	0	1	0	0	1	0	5	1	1	7	0 1 0 0 1 0 1 1 1	5	9
CAMEL	0	1	0	0	1	2	0	2	1	918	0 1 0 0 1 1 0 1 1	5	7
ROOT	0	1	0	0	2	3	0	2	1	5466	0 1 0 0 1 1 0 1 1	5	9
VILLAGE	0	1	0	0	1	1	0	2	1	7331	0 1 0 0 1 1 0 1 1	5	6
WALL (OF HOUSE)	0	1	0	0	1	1	2	1	0	7366	0 1 0 0 1 1 1 1 0	5	6
CASSAVA	0	1	0	1	0	0	1	2	1	968	0 1 0 1 0 0 1 1 1	5	6
STAR	0	1	0	3	0	11	3	1	0	6475	0 1 0 1 0 1 1 1 0	5	19
ASH	0	1	0	3	3	0	1	2	0	116	0 1 0 1 1 0 1 1 0	5	10
CARRY ON HEAD	0	1	0	7	4	0	3	5	0	10	0 1 0 1 1 0 1 1 0	5	20
FACE	0	1	0	1	2	0	6	5	0	2074	0 1 0 1 1 0 1 1 0	5	15
FIVE	0	1	0	5	3	0	1	5	0	2432	0 1 0 1 1 0 1 1 0	5	15
JOINT	0	1	0	4	4	0	1	3	0	3516	0 1 0 1 1 0 1 1 0	5	13
LAUGH	0	1	0	5	5	0	3	5	0	3727	0 1 0 1 1 0 1 1 0	5	19
MEAT	0	1	0	7	5	0	5	6	0	4307	0 1 0 1 1 0 1 1 0	5	24
NEW	0	1	0	7	5	0	5	5	0	4673	0 1 0 1 1 0 1 1 0	5	23
ONE	0	1	0	6	4	0	4	4	0	4878	0 1 0 1 1 0 1 1 0	5	19
PICK	0	1	0	4	3	0	1	2	0	5090	0 1 0 1 1 0 1 1 0	5	11
RIVER	0	1	0	3	3	0	2	1	0	5433	0 1 0 1 1 0 1 1 0	5	10
SING	0	1	0	7	4	0	2	2	0	5980	0 1 0 1 1 0 1 1 0	5	16
SONG	0	1	0	10	3	0	4	6	0	6324	0 1 0 1 1 0 1 1 0	5	24
TAIL	0	1	0	6	5	0	4	6	0	6733	0 1 0 1 1 0 1 1 0	5	22
THORN	0	1	0	5	4	0	1	4	0	6932	0 1 0 1 1 0 1 1 0	5	15
WEEK	0	1	0	4	3	0	2	2	0	7421	0 1 0 1 1 0 1 1 0	5	12
FOAM	0	1	0	2	1	1	0	4	0	2525	0 1 0 1 1 1 0 1 0	5	9
NEIGHBOUR	0	1	1	0	1	0	1	2	0	4645	0 1 1 0 1 0 1 1 0	5	6
NOW	1	0	0	0	1	1	0	3	1	4796	1 0 0 0 1 1 0 1 1	5	7
MUD	1	0	0	0	2	1	1	1	0	72	1 0 0 0 1 1 1 1 0	5	6
ORPHAN	1	0	0	1	0	1	0	1	1	4958	1 0 0 1 0 1 0 1 1	5	5
FISH	1	0	0	4	1	0	1	1	0	2415	1 0 0 1 1 0 1 1 0	5	8
TONGUE	1	0	0	2	4	0	5	4	0	7106	1 0 0 1 1 0 1 1 0	5	16
WEAVE	1	0	0	6	4	0	3	3	0	7408	1 0 0 1 1 0 1 1 0	5	17
SAND	1	0	0	3	2	5	1	0	0	5607	1 0 0 1 1 1 1 0 0	5	12
HIP	1	1	0	0	0	9	1	2	0	3214	1 1 0 0 0 1 1 1 0	5	14
MARROW	1	1	0	0	1	1	0	1	0	4217	1 1 0 0 1 1 0 1 0	5	5
SHORT	1	1	0	1	0	0	1	2	0	5897	1 1 0 1 0 0 1 1 0	5	6
BOW	2	1	0	3	1	0	0	4	0	6	1 1 0 1 1 0 0 1 0	5	11
DOOR	0	0	0	2	2	1	4	1	1	1599	0 0 0 1 1 1 1 1 1	6	11
FAT (ORGANIC SUBSTANCE)	0	0	0	4	4	9	3	5	1	27	0 0 0 1 1 1 1 1 1	6	26
HORSE	0	0	0	4	3	11	5	4	1	3306	0 0 0 1 1 1 1 1 1	6	28
LEFT	0	0	1	0	4	1	4	4	1	3827	0 0 1 0 1 1 1 1 1	6	15
ONION	0	0	1	2	0	1	1	3	1	4894	0 0 1 1 0 1 1 1 1	6	9
CASSAVA	0	0	1	4	2	1	1	2	0	971	0 0 1 1 1 1 1 1 0	6	11
SKIN	0	0	1	6	4	1	5	3	0	6072	0 0 1 1 1 1 1 1 0	6	20
EIGHT	0	1	0	0	3	11	1	6	1	1923	0 1 0 0 1 1 1 1 1	6	23
LOUSE	0	1	0	0	2	9	2	6	1	4056	0 1 0 0 1 1 1 1 1	6	21
DINNER (SUPPER)	0	1	0	4	3	0	4	2	2	17	0 1 0 1 1 0 1 1 1	6	16
LIMP	0	1	0	3	4	0	2	4	1	3944	0 1 0 1 1 0 1 1 1	6	15
SEE	0	1	0	4	4	0	2	1	2	5708	0 1 0 1 1 0 1 1 1	6	14
SEND	0	1	0	3	5	0	2	3	1	5725	0 1 0 1 1 0 1 1 1	6	15
SHOW	0	1	0	4	5	0	4	4	1	5938	0 1 0 1 1 0 1 1 1	6	19
TREE	0	1	0	6	4	4	3	0	1	7196	0 1 0 1 1 1 1 0 1	6	19
GRANDFATHER	0	1	0	2	1	1	1	2	0	51	0 1 0 1 1 1 1 1 0	6	8
KNIFE	0	1	0	4	4	1	1	1	0	3671	0 1 0 1 1 1 1 1 0	6	12
LICK	0	1	0	6	3	1	3	2	0	3853	0 1 0 1 1 1 1 1 0	6	16
ONION	0	1	0	3	5	1	1	2	0	78	0 1 0 1 1 1 1 1 0	6	13
RAW	0	1	0	2	4	1	4	4	0	5338	0 1 0 1 1 1 1 1 0	6	16
SIX	0	1	0	7	5	1	4	6	0	6039	0 1 0 1 1 1 1 1 0	6	24
SMALL	0	1	0	3	1	1	1	1	0	6174	0 1 0 1 1 1 1 1 0	6	8
STEAL	0	1	0	3	1	5	4	3	0	6510	0 1 0 1 1 1 1 1 0	6	17
BARK	0	1	1	0	1	9	1	2	0	191	0 1 1 0 1 1 1 1 0	6	15
TONGS	0	1	1	1	0	1	0	3	1	7084	0 1 1 1 0 1 0 1 1	6	8
FOUR	0	1	1	5	1	0	3	1	0	2654	0 1 1 1 1 0 1 1 0	6	12
RED	0	1	1	7	5	0	4	5	0	5348	0 1 1 1 1 0 1 1 0	6	23
SWALLOW	0	1	1	6	4	0	3	4	0	6643	0 1 1 1 1 0 1 1 0	6	19
THREE	0	1	1	6	5	0	4	6	0	6963	0 1 1 1 1 0 1 1 0	6	23
SHOE	1	0	0	6	5	1	5	5	0	5886	1 0 0 1 1 1 1 1 0	6	23
ANIMAL	1	0	1	1	0	2	1	1	0	29	1 0 1 1 0 1 1 1 0	6	7
EAT	1	0	1	4	2	0	4	4	0	1859	1 0 1 1 1 0 1 1 0	6	16
SWEET	1	0	1	1	4	0	3	2	0	104	1 0 1 1 1 0 1 1 0	6	12
SICKLE OR SCYTHE	1	1	0	0	1	1	1	4	0	5943	1 1 0 0 1 1 1 1 0	6	9
ARRIVE	2	1	0	7	4	0	4	1	0	91	1 1 0 1 1 0 1 1 0	6	19
GO DOWN (DESCEND)	1	1	0	6	4	0	3	4	0	2850	1 1 0 1 1 0 1 1 0	6	19
DYE	0	0	1	5	2	1	3	4	1	1779	0 0 1 1 1 1 1 1 1	7	17
SOAP	0	0	1	5	2	1	1	3	1	6296	0 0 1 1 1 1 1 1 1	7	14
DRINK	0	1	0	6	5	10	5	6	1	19	0 1 0 1 1 1 1 1 1	7	34
PUSH	0	1	0	6	4	10	2	2	1	5289	0 1 0 1 1 1 1 1 1	7	26
GOAT	0	1	1	6	2	1	1	0	1	2888	0 1 1 1 1 1 1 0 1	7	13
COW	0	1	1	6	5	11	5	5	0	1354	0 1 1 1 1 1 1 1 0	7	34
HUNDRED	0	1	1	4	2	1	3	4	0	3394	0 1 1 1 1 1 1 1 0	7	16
TOUCH	1	1	0	7	5	0	3	3	2	7133	1 1 0 1 1 0 1 1 1	7	22
BURY	1	1	0	8	3	1	6	2	0	862	1 1 0 1 1 1 1 1 0	7	22
FATHER	2	1	0	5	3	1	1	4	0	2226	1 1 0 1 1 1 1 1 0	7	17
FLOWER	1	0	1	6	2	11	5	3	1	2443	1 0 1 1 1 1 1 1 1	8	30
FLY (MOVE THROUGH AIR)	1	1	1	1	2	10	0	3	1	2496	1 1 1 1 1 1 0 1 1	8	20
THINK	2	1	1	4	2	2	2	0	4	6908	1 1 1 1 1 1 1 0 1	8	18
MOTHER	1	1	1	3	3	9	2	4	0	4485	1 1 1 1 1 1 1 1 0	8	24
FORGIVE	2	1	1	5	4	1	3	4	1	2645	1 1 1 1 1 1 1 1 1	9	22
