Concept	Atlantic	Dogon	Isolate	Mande	Songhai	BORROWING	PATTERN	FAMILIES	REFLEXES
BEGIN	0	0	0	1	2	2	0 0 0 1 1	2	3
BELLY	0	0	0	1	1	30	0 0 0 1 1	2	2
MARRY	0	0	0	3	1	4245	0 0 0 1 1	2	4
NOSE	0	0	0	3	1	4766	0 0 0 1 1	2	4
PULL	0	0	0	7	1	5225	0 0 0 1 1	2	8
PULL	0	0	0	2	1	5229	0 0 0 1 1	2	3
SELL	0	0	0	1	1	5723	0 0 0 1 1	2	2
SPIRIT	0	0	0	1	1	193	0 0 0 1 1	2	2
TOUCH	0	0	0	1	1	97	0 0 0 1 1	2	2
YEAR	0	0	0	1	1	7667	0 0 0 1 1	2	2
ANCESTORS	0	0	1	0	2	25	0 0 1 0 1	2	3
SEVEN	0	0	1	0	1	5745	0 0 1 0 1	2	2
GUEST OR STRANGER	0	0	1	2	0	3007	0 0 1 1 0	2	3
BEARD	0	0	1	7	0	251	0 0 1 1 0	2	8
BIG	0	0	1	1	0	400	0 0 1 1 0	2	2
BLACKSMITH	0	0	1	1	0	514	0 0 1 1 0	2	2
BREAST	0	0	1	1	0	730	0 0 1 1 0	2	2
CHIEFTAIN	0	0	1	2	0	1120	0 0 1 1 0	2	3
EAR	0	0	1	11	0	1799	0 0 1 1 0	2	12
FIGHT	0	0	1	2	0	2284	0 0 1 1 0	2	3
FIND	0	0	1	10	0	2305	0 0 1 1 0	2	11
FOREHEAD	0	0	1	1	0	2599	0 0 1 1 0	2	2
FORGET	0	0	1	1	0	46	0 0 1 1 0	2	2
GOD	0	0	1	3	0	2917	0 0 1 1 0	2	4
HOT	0	0	1	3	0	3361	0 0 1 1 0	2	4
IRON	0	0	1	1	0	57	0 0 1 1 0	2	2
KNEE	0	0	1	1	0	59	0 0 1 1 0	2	2
LIGHT (WEIGHT)	0	0	1	2	0	61	0 0 1 1 0	2	3
LUNG	0	0	1	1	0	4108	0 0 1 1 0	2	2
