# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	CONCEPT_IN_SOURCE
46	Penange	AGE	ká:mnɔ́ kán	ká:mnɔ́_kán	k ⁵/aː m n ⁵/ɔ + k ⁵/a n	1473	26 27	0	
47	BankanTey	AGE	pɛ́	pɛ́	p ⁵/ɛ	617	24	0	
48	Jamsay	AGE	pɛ́:ⁿ	pɛ́:ⁿ	p ⁵/ɛ̃ː	617	24	0	
49	PergeTegu	AGE	pɛ́:	pɛ́:	p ⁵/ɛː	617	24	0	
50	TogoKan	AGE	pɛ́:ⁿ	pɛ́:ⁿ	p ⁵/ɛ̃ː	617	24	0	
51	YandaDom	AGE	pɛ́:	pɛ́:	p ⁵/ɛː	617	24	0	
52	ToroSo	AGE	pèy pèy	pèy pèy	p ¹/e j + p ¹/e j	1761	2 24	0	
53	ToroSo	AGE	péỳ	péỳ	p ⁵/e j	617	2	0	
54	BonduSo	AGE	kùnjì-lé	kùnjì-lé	k ¹/u ⁿdʒ ¹/i + l ⁵/e	1169	25 34	0	
#
55	Bambara	ANCESTORS	bɛ́ⁿbá	bɛ́ⁿbá	b ⁵/ɛ̃ b ⁵/a	2815	5127	0	
56	SonghaiKiini	ANCESTORS	kàà	kàà	k ¹/aː	3628	35	25	
57	Mombo	ANCESTORS	ńdá kúnjù	ńdá_kúnjù	ⁿd ⁵/a + k ⁵/u ⁿdʒ ¹/u	844	39 40	0	
58	TommoSo	ANCESTORS	ǹdɛ̀ émmé mɔ̀ɛ̀-mì-nɛ́	mɔ̀ɛ̀-mì-nɛ́	m ¹/ɔ ¹/ɛ + m ¹/i + n ⁵/ɛ	1004	42 43 44	0	
59	Nanga	ANCESTORS	nù: dùgí\\dùgú	dùgú	d ¹/u ɡ ⁵/u	868	41	0	
60	ToroTegu	ANCESTORS	tɛ̀ná\\mǎ:	tɛ̀ná	t ¹/ɛ n ⁵/a	868	45	0	
61	YornoSo	ANCESTORS	tírɛ́	tírɛ́	t ⁵/i r ⁵/ɛ	868	37	0	
62	PergeTegu	ANCESTORS	tìrɛ́	tìrɛ́	t ¹/i r ⁵/ɛ	868	37	0	
63	TogoKan	ANCESTORS	tìrɛ́	tìrɛ́	t ¹/i r ⁵/ɛ	868	37	0	
64	Fulfulde	ANCESTORS	njaatiraaɗoo	njaatiraa-ɗoo	ⁿdʒ aː t i r aː + ɗ oː	79	5268 38	0	
65	BenTey	ANCESTORS	kùmbó	kùmbó	k ¹/u ⁿb ⁵/o	722	36	0	
66	SonghaiSenni	ANCESTORS	kà:jè ~ kà:gè	kà:gè	k ¹/aː ɡ ¹/e	3628	35	25	
67	Bangime	ANCESTORS	kāàⁿ	kāàⁿ	k ¹³/ãː	2386	4903	25	
#
68	Bangime	ANIMAL	jíríbɛ̀	jíríbɛ̀	j ⁵/i r ⁵/i + b ¹/ɛ	2434	4904 4905	0	
69	BozoKorondougounord	ANIMAL	biraⁿteu	biraⁿteu	b i r a + ⁿt e u	3019	54 4906	28	
70	BozoTiemaCewe	ANIMAL	koⁿoⁿbo	koⁿoⁿbo	k õː b o	3030	55	40	
71	ToroTegu	ANIMAL	àrùzàká	àrùzàká	¹/a r ¹/u + z ¹/a k ⁵/a	1089	56 51	0	
72	BenTey	ANIMAL	àrsɛ̌:-m	àrsɛ̌:-m	¹/a r + s ¹⁵/ɛː + m	1089	56 51 49	0	
73	BankanTey	ANIMAL	jáwdì-m	dá:bà-m	d ⁵/aː b ¹/a + m	1060	48 49	29	
74	Nanga	ANIMAL	gàsɛ̀gɛ́	gàsɛ̀gɛ́	ɡ ¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
75	PergeTegu	ANIMAL	àsɛ̀gɛ́	àsɛ̀gɛ́	¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
76	Gourou	ANIMAL	gàrsɛ̀gɛ́	gàrsɛ̀gɛ́	ɡ ¹/a r + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
77	TogoKan	ANIMAL	gìrⁿí árúsɛ̀gɛ̀	gìrⁿí_árúsɛ̀gɛ̀	ɡ ¹/i r̃ + ⁵/i + ⁵/a r ⁵/u + s ¹/ɛ ɡ ¹/ɛ	1497	57 49 56 51	0	
78	YornoSo	ANIMAL	àrùsɛ̀gɛ́	àrùsɛ̀gɛ́	¹/a r ¹/u + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
79	TommoSo	ANIMAL	gìnɛ̀-ý bɛ̀lù	bɛ̀lú	b ¹/ɛ l ⁵/u	1234	47	28	
80	DogulDom	ANIMAL	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀gù	b ⁵/ɛ l ¹/ɛ + ɡ ¹/u	1234	47 53	28	
81	YandaDom	ANIMAL	àzɛ̀gɛ̀	àzɛ̀gɛ̀	¹/a + z ¹/ɛ ɡ ¹/ɛ	1089	56 51	0	
82	BonduSo	ANIMAL	dúmɛ́-ŋgó	dúmɛ́-ŋgó	d ⁵/u m ⁵/ɛ + ⁿɡ ⁵/o	1112	52 53	0	
83	Bunoge	ANIMAL	kɔ́mbɔ̀	kɔ́mbɔ̀	k ⁵/ɔ ⁿb ¹/ɔ	1170	486	40	
84	DonnoSo	ANIMAL	bɛ̀lú	bɛ̀lú	b ¹/ɛ l ⁵/u	1234	47	28	
85	TiranigeDiga	ANIMAL	bèl	bèl	b ¹/e l	1234	47	28	
86	Mombo	ANIMAL	dèbù bɛ́lí, bɛ́lí	dèbù_bɛ́lí	d ¹/e b ¹/u + b ⁵/ɛ l ⁵/i	1060	48 47	29	
87	Jamsay	ANIMAL	àsɛ̀gɛ́	àsɛ̀gɛ́	¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
88	TebulUre	ANIMAL	àsɛ̀gɛ́	àsɛ̀gɛ́	¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
89	ToroSo	ANIMAL	gìnì bɛ́l	gìnì bɛ́l	ɡ ¹/i n ¹/i + b ⁵/ɛ l	1548	60 47	0	
90	ToroSo	ANIMAL	ásɛ̀ɡɛ̀	ásɛ̀ɡɛ̀	⁵/a + s ¹/ɛ ɡ ¹/ɛ	1089	56 51	0	
91	BonduSo	ANIMAL	dúmɛ́ɛ̀	dúmɛ́ɛ̀	d ⁵/u m ⁵¹/ɛː	1112	52	0	
9621	Fulfulde	ANIMAL			d aː b a	900	5270	29	
9622	Jenaama	ANIMAL			d ¹/aː b ³/a	1113	30	29	
9623	SonghaiKiini	ANIMAL			d ⁵/aː bː ¹/a	2896	32	29	
9624	Soninke	ANIMAL			d ⁵/aː b ¹/a	2902	30	29	
9625	TomoKan	ANIMAL			d ⁵/aː b ⁵/aː	2309	31	29	
9626	Penange	ANIMAL			d ⁵/aː b ⁵/a	2309	31	29	
9635	BankanTey	ANIMAL		jáwdì-m	dʒ ⁵/a w d ¹/i + m	3897	479 49	29	
#
92	Bangime	ANSWER	jòò-rò	jòò-rò	j ¹/oː + r ¹/o	2528	4902 4901	0	
93	Bambara	ANSWER	lámìnɛ́	lámìnɛ́	l ⁵/a + m ¹/i n ⁵/ɛ	3204	5128 62	0	
94	ToroTegu	ANSWER	císú	císú	tʃ ⁵/i + s ⁵/u	2097	65 66	0	
95	BenTey	ANSWER	sá, mǒ: sá	sá	s ⁵/a	1677	66	0	
96	BankanTey	ANSWER	kísɛ́	kísɛ́	k ⁵/i + s ⁵/ɛ	1647	65 66	0	
97	Nanga	ANSWER	sá:, nɔ̌: sá:	sá:	s ⁵/aː	1677	66	0	
98	PergeTegu	ANSWER	sá:	sá:	s ⁵/aː	1677	66	0	
99	Gourou	ANSWER	ká: sá:, sá:	ká:_sá:	k ⁵/aː + s ⁵/aː	1647	67 66	0	
100	YornoSo	ANSWER	sá:-	sá:	s ⁵/aː	1677	66	0	
101	TommoSo	ANSWER	sáwá, yàbí-lɛ́	sáwá	s ⁵/a + w ⁵/a	1677	66 656	0	
102	DogulDom	ANSWER	kísɛ̀, kígìl-mè	kísɛ̀	k ⁵/i + s ¹/ɛ	1647	65 66	0	
103	TebulUre	ANSWER	sá:m (sá:m-tì-), sá (sá-tì-)	sá:m	s ⁵/aː + m	1677	66 70	0	
104	YandaDom	ANSWER	m̀bò sá:, sá:	m̀bò_sá:	ⁿb ¹/o + s ⁵/aː	2097	71 66	0	
105	Bunoge	ANSWER	kíjɛ̀	kíjɛ̀	k ⁵/i + dʒ ¹/ɛ	1647	65 66	0	
106	Jamsay	ANSWER	sá:, ká: sá:	sá:	s ⁵/aː	1677	66	0	
107	TiranigeDiga	ANSWER	cígírɔ́	cígírɔ́	tʃ ⁵/i ɡ ⁵/i + r ⁵/ɔ	1987	65 64	0	
108	Mombo	ANSWER	ábúlè, kízɛ́	ábúlè	⁵/a b ⁵/u + l ¹/e	1813	68 4910	0	
109	Penange	ANSWER	kíjɛ́, jámbé	kíjɛ́	k ⁵/i + dʒ ⁵/ɛ	1647	65 66	0	
110	TomoKan	ANSWER	sáwá	sáwá	s ⁵/a + w ⁵/a	1677	66 656	0	
111	Soninke	ANSWER	ɲímí	ɲímí	ɲ ⁵/i m ⁵/i	3383	69	0	
112	TogoKan	ANSWER	sá:	sá:	s ⁵/aː	1677	66	0	
#
113	Fulfulde	ARMPIT	nawki	nawki	n a w + k i	309	79 0	0	
114	BozoHainyaxo	ARMPIT	kabaatiⁿmɔ	kabaatiⁿmɔ	k a b aː t ĩ + m ɔ	3490	77 78	74	
115	Bangime	ARMPIT	kōmpàà	kōmpàà	k ³/o ⁿp ¹/aː	2619	4911	74	
116	Jenaama	ARMPIT	kɛ̄lɛ̄mù	kɛ̄lɛ̄mù	k ³/ɛ l ³/ɛ + m ¹/u	3543	74 78	0	
117	TebulUre	ARMPIT	kà-kàrá	kà-kàrá	k ¹/a + k ¹/a r ⁵/a	2249	73 73	0	
118	ToroTegu	ARMPIT	ìrkílá	ìr-kílá	¹/i r + k ⁵/i l ⁵/a	2197	84 72	0	
119	BenTey	ARMPIT	àrkɛ́lɛ̀	àr-kɛ́lɛ̀	¹/a r + k ⁵/ɛ l ¹/ɛ	2197	73 74	0	
120	BankanTey	ARMPIT	árkɛ́ndɛ̀	ár-kɛ́ndɛ̀	⁵/a r + k ⁵/ɛ ⁿd ¹/ɛ	2197	73 74	0	
121	Nanga	ARMPIT	ɛ̀rɛ̀-kɛ̀ndɛ̂, ɛ̀rɛ̀-gɛ̀ndɛ̂	ɛ̀rɛ̀-kɛ̀ndɛ̂	¹/ɛ r ¹/ɛ + k ¹/ɛ ⁿd ¹⁵/ɛ	2197	0 74	0	
122	PergeTegu	ARMPIT	kà-kàrá	kà-kàrá	k ¹/a + k ¹/a r ⁵/a	2249	73 73	0	
123	Gourou	ARMPIT	kìkàrá	kì-kàrá	k ¹/i + k ¹/a r ⁵/a	2249	72 73	0	
124	TogoKan	ARMPIT	kàkàrá	kà-kàrá	k ¹/a + k ¹/a r ⁵/a	2249	73 73	0	
125	YornoSo	ARMPIT	kí-kárú	kí-kárú	k ⁵/i + k ⁵/a r ⁵/u	2249	72 73	0	
126	TommoSo	ARMPIT	ká-kárú	ká-kárú	k ⁵/a + k ⁵/a r ⁵/u	2249	73 73	0	
127	DogulDom	ARMPIT	kárà-kàrà	kárà-kàrà	k ⁵/a r ¹/a + k ¹/a r ¹/a	2249	73 73	0	
128	YandaDom	ARMPIT	kàgádà ~ kà-kádà	kà-gádà	k ¹/a + ɡ ⁵/a d ¹/a	2249	73 73	0	
129	BonduSo	ARMPIT	kàkàrâ: kùl	kàkàrâ:-kùl	k ¹/a + k ¹/a r ⁵¹/aː + k ¹/u l	2249	73 73 76	0	
130	DonnoSo	ARMPIT	nùmɔ̀-[kárù-kàrù]	kárù-kàrù	k ⁵/a r ¹/u + k ¹/a r ¹/u	2249	73 73	0	
131	Jamsay	ARMPIT	kì-kàrá	kì-kàrá	k ¹/i + k ¹/a r ⁵/a	2249	72 73	0	
132	TomoKan	ARMPIT	kì-kàrà	kì-kàrà	k ¹/i + k ¹/a r ¹/a	2249	72 73	0	
133	TiranigeDiga	ARMPIT	kàrà-kàrà	kàrà-kàrà	k ¹/a r ¹/a + k ¹/a r ¹/a	2249	73 73	0	
134	Mombo	ARMPIT	kárá-kárá súgù, kárákárá	kárá-kárá_súgù	k ⁵/a r ⁵/a + k ⁵/a r ⁵/a + s ⁵/u ɡ ¹/u	2249	73 73 80	0	
135	Penange	ARMPIT	kàrà-kàrà, kàrà-kàrà súgù	kàrà-kàrà	k ¹/a r ¹/a + k ¹/a r ¹/a	2249	73 73	0	
136	SonghaiKiini	ARMPIT	fát-ò	fát-ò	f ⁵/a t + ¹/o	3888	81 82	0	
137	SonghaiSenni	ARMPIT	fàt-ò	fàt-ò	f ¹/a t + ¹/o	3888	81 82	0	
138	ToroSo	ARMPIT	ká kárú	ká kárú	k ⁵/a + k ⁵/a r ⁵/u	2249	73 73	0	
139	BonduSo	ARMPIT	kárá kàrá	kárá kàrá	k ⁵/a r ⁵/a + k ¹/a r ⁵/a	2249	73 73	0	
140	Bambara	ARMPIT	nàná	nàná	n ⁵/a n ¹/a	3480	683	0	
#
141	Bangime	ARRIVE	twàà-rà	twàà-rà	t w ¹/aː + r ¹/a	2640	4912 4913	90	
142	Fulfulde	ARRIVE	yott-aade	yott-aade	j o t t + aː d e	318	91 5269	0	
143	Jenaama	ARRIVE	kìyɛ̀wⁿ	kìyɛ̀wⁿ	k ¹/i j ¹/ɛ + ∼/w̃	2648	93 94	0	
144	BozoDebo	ARRIVE	be	be	b e	3554	89	0	
145	BozoKorondougounord	ARRIVE	be	be	b e	3554	89	0	
146	BozoKorondougousud	ARRIVE	be	be	b e	3554	89	0	
147	SonghaiSenni	ARRIVE	tó:	tó:	t ⁵/oː	3891	5332	91	
148	ToroTegu	ARRIVE	dɔ́	dɔ́	d ⁵/ɔ	2287	87	91	
149	BenTey	ARRIVE	dɔ̌	dɔ̌	d ¹⁵/ɔ	2287	87	91	
150	Nanga	ARRIVE	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
151	Gourou	ARRIVE	dɔ́:	dɔ́:	d ⁵/ɔː	2287	87	91	
152	YornoSo	ARRIVE	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
153	TommoSo	ARRIVE	dɔ̀ɔ́	dɔ̀ɔ́	d ¹⁵/ɔː	2287	87	91	
154	DogulDom	ARRIVE	dèé	dèé	d ¹⁵/eː	2287	87	91	
155	TebulUre	ARRIVE	dɔ̌ (dɔ̯-â:- ~ dɔ̌y-yà-, perf neg dɔ̯à-lí-)	dɔ̌	d ¹⁵/ɔ	2287	87	91	
156	BonduSo	ARRIVE	dwɛ̂:	dw-ɛ̂:	d w + ⁵¹/ɛː	2282	85 95	90	
157	Bunoge	ARRIVE	dínnɛ̀	dínnɛ̀	d ⁵/i n + n ¹/ɛ	2306	90 95	0	
158	TiranigeDiga	ARRIVE	áyó	áyó	⁵/a j ⁵/o	351	97	0	
159	Mombo	ARRIVE	dínyɛ̂:	dín-yɛ̂:	d ⁵/i n + j ⁵¹/ɛː	2306	90 95	0	
160	Penange	ARRIVE	túbyɛ̀	túb-yɛ̀	t ⁵/u b + j ¹/ɛ	2306	96 95	0	
161	BankanTey	ARRIVE	dɔ́	dɔ́	d ⁵/ɔ	2287	87	91	
162	Jamsay	ARRIVE	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
163	PergeTegu	ARRIVE	ná	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
164	TomoKan	ARRIVE	ná:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
165	YandaDom	ARRIVE	dɔ́	dɔ́	d ⁵/ɔ	2287	87	91	
166	TogoKan	ARRIVE	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
167	SonghaiKiini	ARRIVE	tɔ́:	tɔ́:	t ɔː	3891	5332	91	
168	ToroSo	ARRIVE	dɔ̀ɔ̀	dɔ̀ɔ̀	d ¹/ɔː	2287	87	91	
#
169	ToroTegu	ASH	dòwⁿòsú	dòwⁿòsú	d ¹/o w̃ ¹/o + s ⁵/u	434	102 0	0	
170	BenTey	ASH	dɔ̀yⁿɔ̌yⁿ	dɔ̀yⁿɔ̌yⁿ	d ¹/ɔ j̃ ¹⁵/ɔ + j̃	354	98 100	0	
171	Nanga	ASH	dùyá	dùyá	d ¹/u j ⁵/a	368	98	116	
172	PergeTegu	ASH	dɔ̀yⁿɔ́	dɔ̀yⁿɔ́	d ¹/ɔ j̃ ⁵/ɔ	368	98	116	
173	Gourou	ASH	ɛ́:rⁿɛ̀	ɛ́:rⁿɛ̀	⁵/ɛː r̃ ¹/ɛ	357	104	0	
174	TogoKan	ASH	dɔ̀yⁿɛ́	dɔ̀yⁿɛ́	d ¹/ɔ j̃ ⁵/ɛ	368	98	116	
175	YornoSo	ASH	únɔ̀	únɔ̀	⁵/u n ¹/ɔ	440	103	0	
176	TommoSo	ASH	ɔ́índɛ́, úndɔ́	úndɔ́	⁵/u ⁿd ⁵/ɔ	383	103	0	
177	DogulDom	ASH	dɔ́ɔ̀	dɔ́ɔ̀	d ⁵¹/ɔː	383	98	0	
178	TebulUre	ASH	dɔ̀ɛ́	dɔ̀ɛ́	d ¹/ɔ ⁵/ɛ	383	98	0	
179	YandaDom	ASH	dɔ̀yⁿɛ̀	dɔ̀yⁿɛ̀	d ¹/ɔ j̃ ¹/ɛ	368	98	116	
180	BonduSo	ASH	dɔ̀dɛ̌:ŋgó\\dɔ̀dɛ̌:	dɔ̀dɛ̌:-ŋgó	d ¹/ɔ d ¹⁵/ɛː + ⁿɡ ⁵/o	368	98 99	116	
181	Ampari	ASH	dɔ̀:yé_(dɔ̀:yé_gè)	dɔ̀:yé-gè	d ¹/ɔː j ⁵/e + ɡ ¹/e	368	98 99	116	
182	Bunoge	ASH	díwɔ̀	díwɔ̀	d ⁵/i w ¹/ɔ	368	102	116	
183	DonnoSo	ASH	úndɔ̀	úndɔ̀	⁵/u ⁿd ¹/ɔ	383	103	0	
184	TomoKan	ASH	dwɛ́ⁿ	dwɛ́ⁿ	d w ⁵/ɛ̃	401	102	0	
185	TiranigeDiga	ASH	dwɛ́:	dwɛ́:	d w ⁵/ɛː	401	102	0	
186	Penange	ASH	dwɛ̀:	dwɛ̀:	d w ¹/ɛː	401	102	0	
187	Bangime	ASH	tùɥɛ̀	tùɥɛ̀	t ¹/u ɥ ¹/ɛ	2326	4914	116	
188	Jenaama	ASH	síbō	síbō	s ⁵/i b ³/o	2667	101	0	
189	BozoKorondougounord	ASH	sibokuoⁿ	sibokuoⁿ	s i b o + k u õ	2667	101 0	0	
190	BozoKorondougousud	ASH	sobo	sobo	s o b o	2667	101	0	
191	SonghaiKiini	ASH	bó:s-ú	bó:s-ú	b ⁵/oː s + ⁵/u	3573	5333 106	0	
192	SonghaiSenni	ASH	bó:s-ó	bó:s-ó	b ⁵/oː s + ⁵/o	3573	5333 106	0	
193	BankanTey	ASH	dɔ̀yⁿɔ̌yⁿ	dɔ̀yⁿɔ̌yⁿ	d ¹/ɔ j̃ ¹⁵/ɔ + j̃	354	98 100	0	
194	Jamsay	ASH	dɔ̀yⁿɔ́	dɔ̀yⁿɔ́	d ¹/ɔ j̃ ⁵/ɔ	368	98	116	
195	Mombo	ASH	dwɛ̂:	dwɛ̂:	d w ⁵¹/ɛː	401	102	0	
196	ToroSo	ASH	únɔ́	únɔ́	⁵/u n ⁵/ɔ	432	103	0	
197	ToroSo	ASH	púnɔ̀	púnɔ̀	p ⁵/u n ¹/ɔ	432	103	0	
198	BonduSo	ASH	dɔ̀ndɛ̀	dɔ̀ndɛ̀	d ¹/ɔ ⁿd ¹/ɛ	368	98	116	
199	Bambara	ASH	kɔ̀rɔ́	kɔ̀rɔ́	k ¹/ɔ r ⁵/ɔ	2659	0	0	
#
200	SonghaiSenni	BACK	bàndè	bàndè	b ¹/a ⁿd ¹/e	3581	105	144	
201	SonghaiKiini	BACK	bandɛ̀	bandɛ̀	b a ⁿd ¹/ɛ	3581	105	144	
202	ToroTegu	BACK	tùŋɔ́	tùŋɔ́	t ¹/u ŋ ⁵/ɔ	467	108	0	
203	BenTey	BACK	tùlù-kɛ́lɛ̀	tùlù-kɛ́lɛ̀	t ¹/u l ¹/u + k ⁵/ɛ l ¹/ɛ	461	108 107	0	
204	BankanTey	BACK	tùndú, tùndù kɛ́ndɛ̀	tùndú	t ¹/u ⁿd ⁵/u	457	108	0	
205	Nanga	BACK	tùndù bìrⁿɛ́	tùndù-bìrⁿɛ́	t ¹/u ⁿd ¹/u + b ¹/i r̃ ⁵/ɛ	457	108 116	0	
206	PergeTegu	BACK	tùr-kɛ́lɛ́	tùr-kɛ́lɛ́	t ¹/u r + k ⁵/ɛ l ⁵/ɛ	461	108 107	0	
207	Gourou	BACK	gùn kɛ́nɛ́	gùn-kɛ́nɛ́	ɡ ¹/u n + k ⁵/ɛ n ⁵/ɛ	474	115 107	0	
208	TogoKan	BACK	dògò-kɛ́nɛ́	dògò-kɛ́nɛ́	d ¹/o ɡ ¹/o + k ⁵/ɛ n ⁵/ɛ	474	111 107	0	
209	YornoSo	BACK	ònɔ́	ònɔ́	¹/o n ⁵/ɔ	467	108	0	
210	TommoSo	BACK	ònnú	ònnú	¹/o n n ⁵/u	467	108	0	
211	DogulDom	BACK	ǹdɔ́-ŋ́ (ǹdɔ́ⁿ yà:)	ǹdɔ́-ŋ́	ⁿd ⁵/ɔ ŋ	467	111	0	
212	TebulUre	BACK	kúndúgó	kúndú-gó	k ⁵/u ⁿd ⁵/u + ɡ ⁵/o	500	108 0	0	
213	YandaDom	BACK	tùnù	tùnù	t ¹/u n ¹/u	467	108	0	
214	BonduSo	BACK	bàndí-ŋgé	bàndí-ŋgé	b ¹/a ⁿd ⁵/i + ⁿɡ ⁵/e	464	109 0	144	
215	Bunoge	BACK	pùmbù	pùmbù	p ¹/u ⁿb ¹/u	3623	110	144	
216	DonnoSo	BACK	ùnnú	ùnnú	¹/u n n ⁵/u	467	108	0	
217	Jamsay	BACK	gǔn, gùn-cɛ́nɛ́	gǔn	ɡ ¹⁵/u + n	449	115 0	141	
218	TomoKan	BACK	dògòlò	dògòlò	d ¹/o ɡ ¹/o + l ¹/o	511	111 0	0	
219	TiranigeDiga	BACK	túnú	túnú	t ⁵/u n ⁵/u	467	108	0	
220	Mombo	BACK	túndú	túndú	t ⁵/u ⁿd ⁵/u	457	108	0	
221	Bangime	BACK	ɡīìⁿ	ɡīìⁿ	ɡ ³¹/ĩ:	2337	4915	141	
222	Fulfulde	BACK	caggal	caggal	tʃ a ɡ ɡ + a l	22	5302 0	0	
223	Penange	BACK	túndú	túndú	t ⁵/u ⁿd ⁵/u	457	108	0	
224	ToroSo	BACK	ònú	ònú	¹/o n ⁵/u	467	108	0	
225	ToroSo	BACK	dòɡò kínɛ́	dòɡò kínɛ́	d ¹/o ɡ ¹/o + k ⁵/i n ⁵/ɛ	474	111 107	0	
226	BonduSo	BACK	bàndíí	bàndíí	b ¹/a ⁿd ⁵/iː	464	109	144	
227	Bambara	BACK	kírⁿí	kírⁿí	k ⁵/i r̃ ⁵/i	2687	5129	0	
#
228	ToroTegu	BAD	mɔ̀sú, m̀bɔ̀sú	mɔ̀sú	m ¹/ɔ s ⁵/u	522	122	0	
229	BenTey	BAD	mɔ̀sú	mɔ̀sú	m ¹/ɔ s ⁵/u	522	122	0	
230	BankanTey	BAD	m̀bɔ̀sú	m̀bɔ̀sú	ⁿb ¹/ɔ s ⁵/u	522	122	0	
231	Nanga	BAD	mɔ̀sí, gɔ̀mî	mɔ̀sí	m ¹/ɔ s ⁵/i	522	122	0	
232	Jamsay	BAD	mɔ̀ɲú	mɔ̀ɲú	m ¹/ɔ ɲ ⁵/u	568	122	179	
233	YornoSo	BAD	mɔ̀ɲú, sálá	mɔ̀ɲú	m ¹/ɔ ɲ ⁵/u	568	122	179	
234	TommoSo	BAD	pàdíɛ́, sálá, yámú	pàdíɛ́	p ¹/a d ⁵/i + ⁵/ɛ	563	128 0	0	
235	DogulDom	BAD	sálá	sálá	s ⁵/a l ⁵/a	557	127	0	
236	TebulUre	BAD	sàm-gɔ́	sàm-gɔ́	s ¹/a m + ɡ ⁵/ɔ	592	135 121	0	
237	YandaDom	BAD	gɔ̀mɔ̀	gɔ̀mɔ̀	ɡ ¹/ɔ m ¹/ɔ	542	136	0	
238	BonduSo	BAD	nɛ̀:ndɛ́:	nɛ̀:ndɛ́:	n ¹/ɛː ⁿd ⁵/ɛː	534	123	166	
239	Bunoge	BAD	ɲàmì	ɲàmì	ɲ ¹/a m ¹/i	534	44	166	
240	DonnoSo	BAD	pà:dɛ̂:	pà:dɛ̂:	p ¹/aː d ⁵¹/ɛː	563	128	0	
241	TiranigeDiga	BAD	mɔ́:-ná	mɔ́:ná	m ɔː n ⁵/a	568	122	179	
242	Mombo	BAD	yá:lá	yá:lá	j ⁵/aː l ⁵/a	557	127	0	
243	Penange	BAD	ɲàm, pɔ́:lɔ́ wǒl-gà	ɲàm	ɲ ¹/a m	534	44	166	
244	PergeTegu	BAD	gáw	mɔ̀sú	m ¹/ɔ s ⁵/u	522	122	0	
245	TogoKan	BAD	kàⁿ-hwéléⁿ	mɔ̀ɲú	m ¹/ɔ ɲ ⁵/u	568	122	179	
