# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	CONCEPT_IN_SOURCE
#
28	SonghaiKiini	AGE	zé:n	zé:n	z ⁵/eː n	3584	4898	0	
29	SonghaiSenni	AGE	zé:n	zé:n	z ⁵/eː n	3584	4898	0	
30	Bangime	AGE	ɡwìì	ɡwìì	ɡ w ¹/iː	2319	23	0	
31	Fulfulde	AGE	naywude	nayw-ude	n a j w + u d e	307	5266 5267	0	
32	ToroTegu	AGE	yɔ̌w	yɔ̌w	j ¹⁵/ɔ w	702	33	0	
33	BenTey	AGE	pɛ́	pɛ́	p ⁵/ɛ	617	24	0	
34	Nanga	AGE	pɛ́:	pɛ́:	p ⁵/ɛː	617	24	0	
35	Gourou	AGE	pɛ́:ⁿ	pɛ́:ⁿ	p ⁵/ɛ̃ː	617	24	0	
36	YornoSo	AGE	pɛ́:-	pɛ́:	p ⁵/ɛː	617	24	0	
37	TommoSo	AGE	pɛ́ɛ́ⁿ, pííⁿ-yɛ́	pɛ́ɛ́ⁿ	p ⁵/ɛ̃ː	617	24	0	
38	DogulDom	AGE	páy-ndìyè	páy-ndìyè	p ⁵/a j + ⁿd ¹/i + j ¹/e	1761	24 28 29	0	
39	TebulUre	AGE	pɛ́ (pɛ́-yà-, pɛ́-sɔ̀-, pèyà-lí-)	pɛ́	p ⁵/ɛ	617	24	0	
40	BonduSo	AGE	kúnjɛ́	kúnjɛ́	k ⁵/u ⁿdʒ ⁵/ɛ	1169	25	0	
41	Bunoge	AGE	kɛ̀mnɔ̀ kánì, kɛ̀mnɔ̀ bílè	kɛ̀mnɔ̀_kánì	k ¹/ɛ m n ¹/ɔ + k ⁵/a n ¹/i	1473	26 27	0	
42	DonnoSo	AGE	páy-nd-ɛ̀:-	páy-ndɛ̀:	p ⁵/a j + ⁿd ¹/ɛː	1761	24 28	0	
43	TomoKan	AGE	pyɛ́:ⁿ	pyɛ́:ⁿ	p j ⁵/ɛ̃ː	617	24	0	
44	TiranigeDiga	AGE	kúnjó	kúnjó	k ⁵/u ⁿdʒ ⁵/o	1169	25	0	
45	Mombo	AGE	ká:nú kánì	ká:nú_kánì	k ⁵/aː n ⁵/u + k ⁵/a n ¹/i	1473	26 27	0	
