ID	DOCULECT	CONCEPT	CONCEPT_FRENCH	FAMILY	SUBGROUP	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	STRATUM
1	Soninke	GUEST OR STRANGER		Mande	Soninke-Bozo	mùkkê	mùkkê	m ¹/u k k ⁵¹/e	2900	18	0	
2	SonghaiKiini	GUEST OR STRANGER		Songhai	Eastern_Songhai	yòw-òó	yòw-òó	j ¹/o w + ¹⁵/o:	3652	15 16	0	
3	SonghaiSenni	GUEST OR STRANGER		Songhai	Eastern_Songhai	yòw-ò	yòw-ò	j ¹/o w + ¹/o	3652	15 16	0	
4	Bambara	GUEST OR STRANGER		Mande	Western_Mande	dúnáⁿ	dúnáⁿ	d ⁵/u n ⁵/ã	2898	1	3007	
5	Bangime	GUEST OR STRANGER		Isolate	Isolate	jīī-tūwⁿɔ̀	jīī-tūwⁿɔ̀	j ³³/iː + t ³/u ∼/w̃ ¹/ɔ	2410	2 484	3007	
6	Fulfulde	GUEST OR STRANGER		Atlantic	North-Central_Atlantic	koɗɗo	koɗɗo	k o ɗ ɗ o	94	11	0	
7	Jenaama	GUEST OR STRANGER		Mande	Soninke-Bozo	súmū	súmū	s ⁵/u m ³/u	2898	12	3007	
8	BenTey	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	lò:sú-m\\lò:sú	lò:sú-m	l ¹/oː s ⁵/u + m	899	4 5	0	
9	BankanTey	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	ǹdòsú-m\\ǹdòsú	ǹdòsú-m	ⁿd ¹/o s ⁵/u + m	899	4 5	0	
10	Nanga	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	lò:sí	lò:sí	l ¹/oː s ⁵/i	899	4	0	
11	PergeTegu	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	lò:sú-n	lò:sú-n	l ¹/oː s ⁵/u + n	899	4 5	0	
12	Gourou	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	yérí-n	yérí-n	j ⁵/e r ⁵/i + n	902	7 5	0	
13	TogoKan	GUEST OR STRANGER		Dogon	South-Eastern_Dogon	yéríⁿ	yéríⁿ	j ⁵/e r ⁵/ĩ	902	7	0	
14	YornoSo	GUEST OR STRANGER		Dogon	North-Western_Dogon	yér-nɛ́\\yérú-m	yér-nɛ́	j ⁵/e r + n ⁵/ɛ	902	7 10	0	
