ID	DOCULECT	CONCEPT	CONCEPT_FRENCH	FAMILY	SUBGROUP	VALUE	FORM	TOKENS	COGID	COGIDS	BORID	STRATUM
15	TommoSo	GUEST OR STRANGER		Dogon	South-Eastern_Dogon	yòùnjì-nɛ́ \\ yòùnjǔ-m	yòùnjì-nɛ́	j ¹/o ¹/u ⁿdʒ ¹/i + n ⁵/ɛ	903	4 10	0	
16	DogulDom	GUEST OR STRANGER		Dogon	South-Western_Dogon	yàrùwúl, bɛ̀mmɛ́	yàrùwúl	j ¹/a r ¹/u + w ⁵/u l	902	7 8	0	
17	TebulUre	GUEST OR STRANGER		Dogon	North-Western_Dogon	lògòdé:\\lògòdù-mbó	lògòdé:	l ¹/o ɡ ¹/o + d ⁵/eː	906	4 19	0	
18	YandaDom	GUEST OR STRANGER		Dogon	North-Western_Dogon	nò nò:zù\\nò:zù-mù	nò_nò:zù	n ¹/o + n ¹/oː z ¹/u	908	22 4	0	
19	BonduSo	GUEST OR STRANGER		Dogon	North-Western_Dogon	bèmbǎ:\\bèmbà-mbó	bèmbǎ:	b ¹/e ⁿb ¹⁵/aː	901	6	0	
20	Bunoge	GUEST OR STRANGER		Dogon	South-Western_Dogon	dó:njì	dó:njì	d ⁵/oː ⁿdʒ ¹/i	899	4	0	
21	DonnoSo	GUEST OR STRANGER		Dogon	South-Eastern_Dogon	wòɲjù-nɔ́	wòɲjù-nɔ́	w ¹/o ⁿdʒ ¹/u + n ⁵/ɔ	903	4 10	0	
22	TiranigeDiga	GUEST OR STRANGER		Dogon	South-Western_Dogon	bí:má	bí:má	b ⁵/iː m ⁵/a	901	6	0	
23	Penange	GUEST OR STRANGER		Dogon	South-Western_Dogon	bì:mbà	bì:mbà	b ¹/iː ⁿb ¹/a	901	6	0	
24	Mombo	GUEST OR STRANGER		Dogon	South-Western_Dogon	gìlà gílí	gìlà-gílí	ɡ ¹/i l ¹/a + ɡ ⁵/i l ⁵/i	904	13 14	0	
25	Jamsay	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	yérí-n	yérí-n	j ⁵/e r ⁵/i + n	902	7 5	0	
26	ToroTegu	GUEST OR STRANGER		Dogon	North-Eastern_Dogon	lòsù-rⁿu	lòsù-rⁿu	l ¹/o s ¹/u + ∼/r̃ u	899	4 21	0	
28	SonghaiKiini	AGE		Songhai	Eastern_Songhai	zé:n	zé:n	z ⁵/eː n	3584	26	0	
29	SonghaiSenni	AGE		Songhai	Eastern_Songhai	zé:n	zé:n	z ⁵/eː n	3584	26	0	
30	Bangime	AGE		Isolate	Isolate	ɡwìì	ɡwìì	ɡ w ¹/iː	2319	23	0	
31	Fulfulde	AGE		Atlantic	North-Central_Atlantic	naywude	nayw-ude	n a j w + u d e	307	30 31	0	
32	ToroTegu	AGE		Dogon	North-Eastern_Dogon	yɔ̌w	yɔ̌w	j ¹⁵/ɔ w	702	33	0	
33	BenTey	AGE		Dogon	North-Eastern_Dogon	pɛ́	pɛ́	p ⁵/ɛ	617	24	0	
34	Nanga	AGE		Dogon	North-Eastern_Dogon	pɛ́:	pɛ́:	p ⁵/ɛː	617	24	0	
35	Gourou	AGE		Dogon	North-Eastern_Dogon	pɛ́:ⁿ	pɛ́:ⁿ	p ⁵∼/ɛː	617	24	0	
36	YornoSo	AGE		Dogon	North-Western_Dogon	pɛ́:-	pɛ́:	p ⁵/ɛː	617	24	0	
37	TommoSo	AGE		Dogon	South-Eastern_Dogon	pɛ́ɛ́ⁿ, pííⁿ-yɛ́	pɛ́ɛ́ⁿ	p ⁵∼/ɛː	617	24	0	
38	DogulDom	AGE		Dogon	South-Western_Dogon	páy-ndìyè	páy-ndìyè	p ⁵/a j + ⁿd ¹/i + j ¹/e	1761	24 28 29	0	
39	TebulUre	AGE		Dogon	North-Western_Dogon	pɛ́ (pɛ́-yà-, pɛ́-sɔ̀-, pèyà-lí-)	pɛ́	p ⁵/ɛ	617	24	0	
40	BonduSo	AGE		Dogon	North-Western_Dogon	kúnjɛ́	kúnjɛ́	k ⁵/u ⁿdʒ ⁵/ɛ	1169	25	0	
41	Bunoge	AGE		Dogon	South-Western_Dogon	kɛ̀mnɔ̀ kánì, kɛ̀mnɔ̀ bílè	kɛ̀mnɔ̀_kánì	k ¹/ɛ m n ¹/ɔ + k ⁵/a n ¹/i	1473	26 27	0	
42	DonnoSo	AGE		Dogon	South-Eastern_Dogon	páy-nd-ɛ̀:-	páy-ndɛ̀:	p ⁵/a j + ⁿd ¹/ɛː	1761	24 28	0	
43	TomoKan	AGE		Dogon	South-Eastern_Dogon	pyɛ́:ⁿ	pyɛ́:ⁿ	p j ⁵∼/ɛː	617	24	0	
44	TiranigeDiga	AGE		Dogon	South-Western_Dogon	kúnjó	kúnjó	k ⁵/u ⁿdʒ ⁵/o	1169	25	0	
45	Mombo	AGE		Dogon	South-Western_Dogon	ká:nú kánì	ká:nú_kánì	k ⁵/aː n ⁵/u + k ⁵/a n ¹/i	1473	26 27	0	
46	Penange	AGE		Dogon	South-Western_Dogon	ká:mnɔ́ kán	ká:mnɔ́_kán	k ⁵/aː m n ⁵/ɔ + k ⁵/a n	1473	26 27	0	
47	BankanTey	AGE		Dogon	North-Eastern_Dogon	pɛ́	pɛ́	p ⁵/ɛ	617	24	0	
48	Jamsay	AGE		Dogon	North-Eastern_Dogon	pɛ́:ⁿ	pɛ́:ⁿ	p ⁵∼/ɛː	617	24	0	
49	PergeTegu	AGE		Dogon	North-Eastern_Dogon	pɛ́:	pɛ́:	p ⁵/ɛː	617	24	0	
50	TogoKan	AGE		Dogon	South-Eastern_Dogon	pɛ́:ⁿ	pɛ́:ⁿ	p ⁵∼/ɛː	617	24	0	
51	YandaDom	AGE		Dogon	North-Western_Dogon	pɛ́:	pɛ́:	p ⁵/ɛː	617	24	0	
52	ToroSo	AGE		Dogon	South-Eastern_Dogon	pèy pèy	pèy pèy	p ¹/e j + p ¹/e j	1761	2 24	0	
53	ToroSo	AGE		Dogon	South-Eastern_Dogon	péỳ	péỳ	p ⁵/e j	617	2	0	
54	BonduSo	AGE		Dogon	North-Western_Dogon	kùnjì-lé	kùnjì-lé	k ¹/u ⁿdʒ ¹/i + l ⁵/e	1169	25 34	0	
55	Bambara	ANCESTORS		Mande	Western_Mande	bɛ́ⁿbá	bɛ́ⁿbá	b ⁵∼/ɛ b ⁵/a	2815	34	0	
56	SonghaiKiini	ANCESTORS		Songhai	Eastern_Songhai	kàà	kàà	k ¹/aː	3628	35	25	
57	Mombo	ANCESTORS		Dogon	South-Western_Dogon	ńdá kúnjù	ńdá_kúnjù	ⁿd ⁵/a + k ⁵/u ⁿdʒ ¹/u	844	39 40	0	
58	TommoSo	ANCESTORS		Dogon	South-Eastern_Dogon	ǹdɛ̀ émmé mɔ̀ɛ̀-mì-nɛ́	mɔ̀ɛ̀-mì-nɛ́	m ¹/ɔ ¹/ɛ + m ¹/i + n ⁵/ɛ	1004	42 43 44	0	
59	Nanga	ANCESTORS		Dogon	North-Eastern_Dogon	nù: dùgí\\dùgú	dùgú	d ¹/u ɡ ⁵/u	868	41	0	
60	ToroTegu	ANCESTORS		Dogon	North-Eastern_Dogon	tɛ̀ná\\mǎ:	tɛ̀ná	t ¹/ɛ n ⁵/a	868	45	0	
61	YornoSo	ANCESTORS		Dogon	North-Western_Dogon	tírɛ́	tírɛ́	t ⁵/i r ⁵/ɛ	868	37	0	
62	PergeTegu	ANCESTORS		Dogon	North-Eastern_Dogon	tìrɛ́	tìrɛ́	t ¹/i r ⁵/ɛ	868	37	0	
63	TogoKan	ANCESTORS		Dogon	South-Eastern_Dogon	tìrɛ́	tìrɛ́	t ¹/i r ⁵/ɛ	868	37	0	
64	Fulfulde	ANCESTORS		Atlantic	North-Central_Atlantic	njaatiraaɗoo	njaatiraa-ɗoo	ⁿdʒ aː t i r aː + ɗ oː	79	37 38	0	
65	BenTey	ANCESTORS		Dogon	North-Eastern_Dogon	kùmbó	kùmbó	k ¹/u ⁿb ⁵/o	722	36	0	
66	SonghaiSenni	ANCESTORS		Songhai	Eastern_Songhai	kà:jè ~ kà:gè	kà:gè	k ¹/aː ɡ ¹/e	3628	35	25	
67	Bangime	ANCESTORS		Isolate	Isolate	kāàⁿ	kāàⁿ	k ¹³∼/ãː	2386	27	25	
68	Bangime	ANIMAL		Isolate	Isolate	jíríbɛ̀	jíríbɛ̀	j ⁵/i r ⁵/i + b ¹/ɛ	2434	46 4814	0	
69	BozoKorondougounord	ANIMAL		Mande	Soninke-Bozo	biraⁿteu	biraⁿteu	b i r ã + t e u	3019	54	28	
70	BozoTiemaCewe	ANIMAL		Mande	Soninke-Bozo	koⁿoⁿbo	koⁿoⁿbo	k õː b o	3030	55	40	
71	ToroTegu	ANIMAL		Dogon	North-Eastern_Dogon	àrùzàká	àrùzàká	¹/a r ¹/u + z ¹/a k ⁵/a	1089	56 51	0	
72	BenTey	ANIMAL		Dogon	North-Eastern_Dogon	àrsɛ̌:-m	àrsɛ̌:	¹/a r + s ¹⁵/ɛː	1089	56 51	0	
73	BankanTey	ANIMAL		Dogon	North-Eastern_Dogon	dá:bà-m	dá:bà-m	d ⁵/aː b ¹/a + m	1060	48 49	29	
74	Nanga	ANIMAL		Dogon	North-Eastern_Dogon	gàsɛ̀gɛ́	gàsɛ̀gɛ́	ɡ ¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
75	PergeTegu	ANIMAL		Dogon	North-Eastern_Dogon	àsɛ̀gɛ́	àsɛ̀gɛ́	¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
76	Gourou	ANIMAL		Dogon	North-Eastern_Dogon	gàrsɛ̀gɛ́	gàrsɛ̀gɛ́	ɡ ¹/a r + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
77	TogoKan	ANIMAL		Dogon	South-Eastern_Dogon	gìrⁿí árúsɛ̀gɛ̀	gìrⁿí_árúsɛ̀gɛ̀	ɡ ¹/i r̃ + ⁵/i + ⁵/a r ⁵/u + s ¹/ɛ ɡ ¹/ɛ	1497	57 49 56 51	0	
78	YornoSo	ANIMAL		Dogon	North-Western_Dogon	àrùsɛ̀gɛ́	àrùsɛ̀gɛ́	¹/a r ¹/u + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
79	TommoSo	ANIMAL		Dogon	South-Eastern_Dogon	gìnɛ̀-ý bɛ̀lù	bɛ̀lú	b ¹/ɛ l ⁵/u	1234	47	28	
80	DogulDom	ANIMAL		Dogon	South-Western_Dogon	bɛ́lɛ̀g, bɛ́lɛ̀gù	bɛ́lɛ̀gù	b ⁵/ɛ l ¹/ɛ + ɡ ¹/u	1234	47 53	28	
81	YandaDom	ANIMAL		Dogon	North-Western_Dogon	àzɛ̀gɛ̀	àzɛ̀gɛ̀	¹/a + z ¹/ɛ ɡ ¹/ɛ	1089	56 51	0	
82	BonduSo	ANIMAL		Dogon	North-Western_Dogon	dúmɛ́-ŋgó	dúmɛ́-ŋgó	d ⁵/u m ⁵/ɛ + ⁿɡ ⁵/o	1112	52 53	0	
83	Bunoge	ANIMAL		Dogon	South-Western_Dogon	kɔ́mbɔ̀	kɔ́mbɔ̀	k ⁵/ɔ̃ b ¹/ɔ	1170	28	40	
84	DonnoSo	ANIMAL		Dogon	South-Eastern_Dogon	bɛ̀lú	bɛ̀lú	b ¹/ɛ l ⁵/u	1234	47	28	
85	TiranigeDiga	ANIMAL		Dogon	South-Western_Dogon	bèl	bèl	b ¹/e l	1234	47	28	
86	Mombo	ANIMAL		Dogon	South-Western_Dogon	dèbù bɛ́lí, bɛ́lí	dèbù_bɛ́lí	d ¹/e b ¹/u + b ⁵/ɛ l ⁵/i	1060	48 47	0	
87	Jamsay	ANIMAL		Dogon	North-Eastern_Dogon	àsɛ̀gɛ́	àsɛ̀gɛ́	¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
88	TebulUre	ANIMAL		Dogon	North-Western_Dogon	àsɛ̀gɛ́	àsɛ̀gɛ́	¹/a + s ¹/ɛ ɡ ⁵/ɛ	1089	56 51	0	
89	ToroSo	ANIMAL		Dogon	South-Eastern_Dogon	gìnì bɛ́l	gìnì bɛ́l	ɡ ¹/i n ¹/i + b ⁵/ɛ l	1548	60 47	0	
90	ToroSo	ANIMAL		Dogon	South-Eastern_Dogon	ásɛ̀ɡɛ̀	ásɛ̀ɡɛ̀	⁵/a + s ¹/ɛ ɡ ¹/ɛ	1089	56 51	0	
91	BonduSo	ANIMAL		Dogon	North-Western_Dogon	dúmɛ́ɛ̀	dúmɛ́ɛ̀	d ⁵/u m ⁵¹/ɛː	1112	52	0	
9621	Fulfulde	ANIMAL		Atlantic	North-Central_Atlantic	daaba	daaba	d aː b a	900	29	29	
9622	Jenaama	ANIMAL		Mande	Soninke-Bozo	dààbá	dààbá	d ¹/aː b ³/a	1113	30	29	
9623	SonghaiKiini	ANIMAL		Songhai	Eastern_Songhai	dáábà	dáábà	d ⁵/aː bː ¹/a	2896	32	29	
9624	Soninke	ANIMAL		Mande	Soninke-Bozo	dáábá	dáábá	d ⁵/aː b ¹/a	2902	30	29	
9625	TomoKan	ANIMAL		Dogon	South-Eastern_Dogon	dáábá	dáábá	d ⁵/aː b ⁵/aː	2309	31	29	
9626	Penange	ANIMAL		Dogon	South-Western_Dogon	dáábá	dáábá	d ⁵/aː b ⁵/a	2309	31	29	
92	Bangime	ANSWER		Isolate	Isolate	jòò-rò	jòò-rò	j ¹/oː + r ¹/o	2528	63 64	0	
93	Bambara	ANSWER		Mande	Western_Mande	lámìnɛ́	lámìnɛ́	l ⁵/a + m ¹/i n ⁵/ɛ	3204	61 62	0	
94	ToroTegu	ANSWER		Dogon	North-Eastern_Dogon	císú	císú	tʃ ⁵/i + s ⁵/u	2097	65	0	
95	BenTey	ANSWER		Dogon	North-Eastern_Dogon	sá, mǒ: sá	sá	s ⁵/a	1677	66	0	
96	BankanTey	ANSWER		Dogon	North-Eastern_Dogon	kísɛ́	kísɛ́	k ⁵/i + s ⁵/ɛ	1647	65 4815	0	
97	Nanga	ANSWER		Dogon	North-Eastern_Dogon	sá:, nɔ̌: sá:	sá:	s ⁵/aː	1677	66	0	
98	PergeTegu	ANSWER		Dogon	North-Eastern_Dogon	sá:	sá:	s ⁵/aː	1677	66	0	
99	Gourou	ANSWER		Dogon	North-Eastern_Dogon	ká: sá:, sá:	ká:_sá:	k ⁵/aː + s ⁵/aː	1647	67 66	0	
100	YornoSo	ANSWER		Dogon	North-Western_Dogon	sá:-	sá:	s ⁵/aː	1677	66	0	
101	TommoSo	ANSWER		Dogon	South-Eastern_Dogon	sáwá, yàbí-lɛ́	sáwá	s ⁵/a + w ⁵/a	1677	66 4869	0	
102	DogulDom	ANSWER		Dogon	South-Western_Dogon	kísɛ̀, kígìl-mè	kísɛ̀	k ⁵/i + s ¹/ɛ	1647	65 4815	0	
103	TebulUre	ANSWER		Dogon	North-Western_Dogon	sá:m (sá:m-tì-), sá (sá-tì-)	sá:m	s ⁵/aː + m	1677	66 70	0	
104	YandaDom	ANSWER		Dogon	North-Western_Dogon	m̀bò sá:, sá:	m̀bò_sá:	ⁿb ¹/o + s ⁵/aː	2097	71 66	0	
105	Bunoge	ANSWER		Dogon	South-Western_Dogon	kíjɛ̀	kíjɛ̀	k ⁵/i + dʒ ¹/ɛ	1647	65 4815	0	
106	Jamsay	ANSWER		Dogon	North-Eastern_Dogon	sá:, ká: sá:	sá:	s ⁵/aː	1677	66	0	
107	TiranigeDiga	ANSWER		Dogon	South-Western_Dogon	cígírɔ́	cígírɔ́	tʃ ⁵/i ɡ ⁵/i + r ⁵/ɔ	1987	65 64	0	
108	Mombo	ANSWER		Dogon	South-Western_Dogon	ábúlè, kízɛ́	ábúlè	⁵/a b ⁵/u + l ¹/e	1813	68 4812	0	
109	Penange	ANSWER		Dogon	South-Western_Dogon	kíjɛ́, jámbé	kíjɛ́	k ⁵/i + dʒ ⁵/ɛ	1647	65	0	
110	TomoKan	ANSWER		Dogon	South-Eastern_Dogon	sáwá	sáwá	s ⁵/a + w ⁵/a	1677	66 4869	0	
111	Soninke	ANSWER		Mande	Soninke-Bozo	ɲímí	ɲímí	ɲ ⁵/i m ⁵/i	3383	69	0	
112	TogoKan	ANSWER		Dogon	South-Eastern_Dogon	sá:	sá:	s ⁵/aː	1677	66	0	
9638	SonghaiSenni	ANSWER		Songhai	Eastern_Songhai	já:bê	já:bê	dʒ ⁵/aː b ⁵¹/e	3903	4883	81	
9639	Fulfulde	ANSWER		Atlantic	North-Central_Atlantic	jaabude	jaab-ude	dʒ aː b + u d e	3902	4884	81	
113	Fulfulde	ARMPIT		Atlantic	North-Central_Atlantic	nawki	nawki	n a w + k i	309	79	0	
114	BozoHainyaxo	ARMPIT		Mande	Soninke-Bozo	kabaatiⁿmɔ	kabaatiⁿmɔ	k a b aː t ĩ + m ɔ	3490	77 78	0	
115	Bangime	ARMPIT		Isolate	Isolate	kōmpàà	kō-m-pàà	k ³/o + m + p ¹/aː	2619	38 4905 4906	0	
116	Jenaama	ARMPIT		Mande	Soninke-Bozo	kɛ̄lɛ̄mù	kɛ̄lɛ̄mù	k ³/ɛ l ³/ɛ + m ¹/u	3543	74 78	0	
117	TebulUre	ARMPIT		Dogon	North-Western_Dogon	kà-kàrá	kà-kàrá	k ¹/a + k ¹/a r ⁵/a	2249	73 73	0	
118	ToroTegu	ARMPIT		Dogon	North-Eastern_Dogon	ìrkílá	ìr-kílá	¹/i r + k ⁵/i l ⁵/a	2197	84 72	0	
119	BenTey	ARMPIT		Dogon	North-Eastern_Dogon	àrkɛ́lɛ̀	àr-kɛ́lɛ̀	¹/a r + k ⁵/ɛ l ¹/ɛ	2197	73 74	0	
120	BankanTey	ARMPIT		Dogon	North-Eastern_Dogon	árkɛ́ndɛ̀	ár-kɛ́ndɛ̀	⁵/a r + k ⁵/ɛ ⁿd ¹/ɛ	2197	73 74	0	
121	Nanga	ARMPIT		Dogon	North-Eastern_Dogon	ɛ̀rɛ̀-kɛ̀ndɛ̂, ɛ̀rɛ̀-gɛ̀ndɛ̂	ɛ̀rɛ̀-kɛ̀ndɛ̂	¹/ɛ r ¹/ɛ + k ¹/ɛ ⁿd ¹⁵/ɛ	2197	496 74	0	
122	PergeTegu	ARMPIT		Dogon	North-Eastern_Dogon	kà-kàrá	kà-kàrá	k ¹/a + k ¹/a r ⁵/a	2249	73 73	0	
123	Gourou	ARMPIT		Dogon	North-Eastern_Dogon	kìkàrá	kì-kàrá	k ¹/i + k ¹/a r ⁵/a	2249	72 73	0	
124	TogoKan	ARMPIT		Dogon	South-Eastern_Dogon	kàkàrá	kà-kàrá	k ¹/a + k ¹/a r ⁵/a	2249	73 73	0	
125	YornoSo	ARMPIT		Dogon	North-Western_Dogon	kí-kárú	kí-kárú	k ⁵/i + k ⁵/a r ⁵/u	2249	72 73	0	
126	TommoSo	ARMPIT		Dogon	South-Eastern_Dogon	ká-kárú	ká-kárú	k ⁵/a + k ⁵/a r ⁵/u	2249	73 73	0	
127	DogulDom	ARMPIT		Dogon	South-Western_Dogon	kárà-kàrà	kárà-kàrà	k ⁵/a r ¹/a + k ¹/a r ¹/a	2249	73 73	0	
128	YandaDom	ARMPIT		Dogon	North-Western_Dogon	kàgádà ~ kà-kádà	kà-gádà	k ¹/a + ɡ ⁵/a d ¹/a	2249	73 73	0	
129	BonduSo	ARMPIT		Dogon	North-Western_Dogon	kàkàrâ: kùl	kàkàrâ:-kùl	k ¹/a + k ¹/a r ⁵¹/aː + k ¹/u l	2249	73 73 76	0	
130	DonnoSo	ARMPIT		Dogon	South-Eastern_Dogon	nùmɔ̀-[kárù-kàrù]	kárù-kàrù	k ⁵/a r ¹/u + k ¹/a r ¹/u	2249	73 73	0	
131	Jamsay	ARMPIT		Dogon	North-Eastern_Dogon	kì-kàrá	kì-kàrá	k ¹/i + k ¹/a r ⁵/a	2249	72 73	0	
132	TomoKan	ARMPIT		Dogon	South-Eastern_Dogon	kì-kàrà	kì-kàrà	k ¹/i + k ¹/a r ¹/a	2249	72 73	0	
133	TiranigeDiga	ARMPIT		Dogon	South-Western_Dogon	kàrà-kàrà	kàrà-kàrà	k ¹/a r ¹/a + k ¹/a r ¹/a	2249	73 73	0	
134	Mombo	ARMPIT		Dogon	South-Western_Dogon	kárá-kárá súgù, kárákárá	kárá-kárá_súgù	k ⁵/a r ⁵/a + k ⁵/a r ⁵/a + s ⁵/u ɡ ¹/u	2249	73 73 80	0	
135	Penange	ARMPIT		Dogon	South-Western_Dogon	kàrà-kàrà, kàrà-kàrà súgù	kàrà-kàrà	k ¹/a r ¹/a + k ¹/a r ¹/a	2249	73 73	0	
136	SonghaiKiini	ARMPIT		Songhai	Eastern_Songhai	fát-ò	fát-ò	f ⁵/a t + ¹/o	3888	81 82	0	
137	SonghaiSenni	ARMPIT		Songhai	Eastern_Songhai	fàt-ò	fàt-ò	f ¹/a t + ¹/o	3888	81 82	0	
138	ToroSo	ARMPIT		Dogon	South-Eastern_Dogon	ká kárú	ká kárú	k ⁵/a + k ⁵/a r ⁵/u	2249	73 73	0	
139	BonduSo	ARMPIT		Dogon	North-Western_Dogon	kárá kàrá	kárá kàrá	k ⁵/a r ⁵/a + k ¹/a r ⁵/a	2249	73 73	0	
140	Bambara	ARMPIT		Mande	Western_Mande	nàná	nàná	n ⁵/a n ¹/a	3480	4121	0	
9664	Soninke	ARMPIT		Mande	Soninke-Bozo	héqqè	héqqè	h ⁵/e q q ¹/e	3909	4904	0	
141	Bangime	ARRIVE		Isolate	Isolate	twàà-rà	twàà-rà	t w ¹/aː + r ¹/a	2640	85 86	91	
142	Fulfulde	ARRIVE		Atlantic	North-Central_Atlantic	yott-aade	yott-aade	j o t t + aː d e	318	91 92	0	
143	Jenaama	ARRIVE		Mande	Soninke-Bozo	kìyɛ̀wⁿ	kìyɛ̀wⁿ	k ¹/i j ¹/ɛ + ∼/w̃	2648	93 94	0	
144	BozoDebo	ARRIVE		Mande	Soninke-Bozo	be	be	b e	3554	89	0	
145	BozoKorondougounord	ARRIVE		Mande	Soninke-Bozo	be	be	b e	3554	89	0	
146	BozoKorondougousud	ARRIVE		Mande	Soninke-Bozo	be	be	b e	3554	89	0	
147	SonghaiSenni	ARRIVE		Songhai	Eastern_Songhai	tó:	tó:	t ⁵/oː	3891	39	91	
148	ToroTegu	ARRIVE		Dogon	North-Eastern_Dogon	dɔ́	dɔ́	d ⁵/ɔ	2287	87	91	
149	BenTey	ARRIVE		Dogon	North-Eastern_Dogon	dɔ̌	dɔ̌	d ¹⁵/ɔ	2287	87	91	
150	Nanga	ARRIVE		Dogon	North-Eastern_Dogon	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
151	Gourou	ARRIVE		Dogon	North-Eastern_Dogon	dɔ́:	dɔ́:	d ⁵/ɔː	2287	87	91	
152	YornoSo	ARRIVE		Dogon	North-Western_Dogon	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
153	TommoSo	ARRIVE		Dogon	South-Eastern_Dogon	dɔ̀ɔ́	dɔ̀ɔ́	d ¹⁵/ɔː	2287	87	91	
154	DogulDom	ARRIVE		Dogon	South-Western_Dogon	dèé	dèé	d ¹⁵/eː	2287	87	91	
155	TebulUre	ARRIVE		Dogon	North-Western_Dogon	dɔ̌ (dɔ̯-â:- ~ dɔ̌y-yà-, perf neg dɔ̯à-lí-)	dɔ̌	d ¹⁵/ɔ	2287	87	91	
156	BonduSo	ARRIVE		Dogon	North-Western_Dogon	dwɛ̂:	dw-ɛ̂:	d w + ⁵¹/ɛː	2282	85 95	91	
157	Bunoge	ARRIVE		Dogon	South-Western_Dogon	dínnɛ̀	dínnɛ̀	d ⁵/i n + n ¹/ɛ	2306	90 95	0	
158	TiranigeDiga	ARRIVE		Dogon	South-Western_Dogon	áyó	áyó	⁵/a j ⁵/o	351	97	0	
159	Mombo	ARRIVE		Dogon	South-Western_Dogon	dínyɛ̂:	dín-yɛ̂:	d ⁵/i n + j ⁵¹/ɛː	2306	90 95	0	
160	Penange	ARRIVE		Dogon	South-Western_Dogon	túbyɛ̀	túb-yɛ̀	t ⁵/u b + j ¹/ɛ	2306	96 95	0	
161	BankanTey	ARRIVE		Dogon	North-Eastern_Dogon	dɔ́	dɔ́	d ⁵/ɔ	2287	87	91	
162	Jamsay	ARRIVE		Dogon	North-Eastern_Dogon	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
163	PergeTegu	ARRIVE		Dogon	North-Eastern_Dogon	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
164	TomoKan	ARRIVE		Dogon	South-Eastern_Dogon	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
165	YandaDom	ARRIVE		Dogon	North-Western_Dogon	dɔ́	dɔ́	d ⁵/ɔ	2287	87	91	
166	TogoKan	ARRIVE		Dogon	South-Eastern_Dogon	dɔ̌:	dɔ̌:	d ¹⁵/ɔː	2287	87	91	
167	SonghaiKiini	ARRIVE		Songhai	Eastern_Songhai	tɔ́:	tɔ́:	t ɔː	3891	39	91	
168	ToroSo	ARRIVE		Dogon	South-Eastern_Dogon	dɔ̀ɔ̀	dɔ̀ɔ̀	d ¹/ɔː	2287	87	91	
